"","HHID","ProvinceCode","HIndivNo","Region","Total_Exp_Month","Total_Exp_Month_nondurable","Size","EqSizeRevOECD","Weight","Decile","HSex","HEduLevel","HEduYears","HActivityState","Benzin_Exp","Transportation_Exp","Other_Exp","Benzin_Exp_Add","Mehr98","Yaraneh2","Yaraneh","BenzinP1","TransportationP1","Other_ExpP1","BenzinP2","TransportationP2","Other_ExpP2","BenzinShare","TransportationShare","Other_ExpShare","CV","Loss","Loss_Amount","taxicode","Loss_Share"
"399","21305540717",13,1,"Rural",6622129.33333333,6424000,4,2.7,388,2,"Male","Primary",5,"Employed",4e+05,1100000,5122129.33333333,0,186.1,1720000,1720000,4e+05,1494233.57664234,6957870.57615572,6e+05,1658599.27007299,9045231.74900243,0.0604035318347754,0.166109712545632,0.773486755619592,-1836431.03759553,1,116431.037595531,0,0.0175821147148939
"400","21305541005",13,1,"Rural",4520231.33333333,3972000,2,1.7,388,1,"Female","Illiterate",0,"Employed",0,1e+06,3520231.33333333,0,186.1,1030000,1030000,0,1358394.16058394,4781861.68710462,0,1507817.51824818,6216420.19323601,0,0.221227615636781,0.778772384363219,-1154212.37525608,1,124212.375256078,0,0.0274792076104831
"401","21305541202",13,1,"Rural",3568231.33333333,3510000,2,1.7,388,1,"Male","Illiterate",0,"Income without Work",0,0,3568231.33333333,0,186.1,1030000,1030000,0,0,4847064.60681265,0,0,6301183.98885645,0,0,1,-1070469.4,1,40469.4000000001,0,0.0113415852895936
"402","21306541414",13,1,"Rural",4026731.33333333,3996000,2,1.7,237,1,"Female","Primary",5,"Housekeeper",0,2e+05,3826731.33333333,0,186.1,1030000,1030000,0,271678.832116788,5198209.4973236,0,301563.503649635,6757672.34652068,0,0.0496680765226121,0.950331923477388,-1167099.07184071,1,137099.071840714,0,0.0340472359568184
"403","21306541514",13,1,"Rural",6228000,5170500,4,2.7,237,1,"Male","Secondary",8,"Employed",0,3e+05,5928000,0,186.1,1720000,1720000,0,407518.248175182,8052560.58394161,0,452345.255474453,10468328.7591241,0,0.0481695568400771,0.951830443159923,-1807012.25008748,1,87012.250087478,0,0.0139711384212392
"404","21306541914",13,1,"Rural",5555263.66666667,5465000,3,2.4,237,1,"Male","Illiterate",0,"Employed",0,1e+05,5455263.66666667,0,186.1,1380000,1380000,0,135839.416058394,7410398.30924574,0,150781.751824818,9633517.80201947,0,0.0180009457696907,0.981999054230309,-1646067.73092261,1,266067.730922607,0,0.0478947079540251
"405","21307542802",13,1,"Rural",1992032.33333333,1610000,1,1,280,1,"Female","Illiterate",0,"Income without Work",0,120000,1872032.33333333,0,186.1,550000,550000,0,163007.299270073,2542957.79002433,0,180938.102189781,3305845.12703163,0,0.0602399860644832,0.939760013935517,-573077.970968853,1,23077.9709688534,0,0.0115851387463357
"406","21307542811",13,1,"Rural",4780629.33333333,4230000,3,2.2,280,1,"Female","Secondary",8,"Income without Work",0,0,4780629.33333333,0,186.1,1380000,1380000,0,0,6493978.9703163,0,0,8442172.66141119,0,0,1,-1434188.8,1,54188.8,0,0.0113350766649412
"407","21308544008",13,1,"Rural",1978699,1835000,1,1,337,1,"Female","Illiterate",0,"Income without Work",0,0,1978699,0,186.1,550000,550000,0,0,2687853.16715328,0,0,3494209.11729927,0,0,1,-593609.7,1,43609.7000000001,0,0.0220395825742066
"408","21309544714",13,1,"Rural",6156666.66666667,5875000,4,3.1,184,1,"Male","Illiterate",0,"Employed",0,1e+05,6056666.66666667,0,186.1,1720000,1720000,0,135839.416058394,8227340.63260341,0,150781.751824818,10695542.8223844,0,0.0162425554953979,0.983757444504602,-1826485.78264061,1,106485.782640611,0,0.01729601234011
"409","21309545105",13,1,"Rural",6108962.66666667,5875000,4,3.1,184,1,"Male","Illiterate",0,"Income without Work",250000,4e+05,5458962.66666667,0,186.1,1720000,1720000,250000,543357.664233577,7415423.00924574,375000,603127.00729927,9640049.91201947,0.04092347811587,0.065477564985392,0.893598956898738,-1797114.28115936,1,77114.2811593551,0,0.0126231383897836
"410","21401545805",14,1,"Rural",5187325.41666667,4859500,3,2.4,132,1,"Male","Illiterate",0,"Other",0,0,5187325.41666667,0,199.8,1380000,1380000,0,0,7565165.09671533,0,0,9834714.62572993,0,0,1,-1556197.625,1,176197.625,0,0.0339669503736713
"411","21404547711",14,1,"Rural",4926184,4521800,3,2.4,331,1,"Female","Illiterate",0,"Income without Work",0,1e+05,4826184,0,199.8,1380000,1380000,0,145839.416058394,7038478.56350365,0,161881.751824818,9150022.13255475,0,0.0202996883591843,0.979700311640816,-1457347.55368463,1,77347.5536846309,0,0.0157013123514329
"412","21404548508",14,1,"Rural",3537878,3314750,2,1.7,331,1,"Female","Illiterate",0,"Income without Work",0,1e+05,3437878,0,199.8,1030000,1030000,0,145839.416058394,5013781.2,0,161881.751824818,6517915.56,0,0.0282655309199469,0.971734469080053,-1040868.64721791,1,10868.6472179114,0,0.00307208083995871
"413","21405550311",14,1,"Rural",3560698,3064000,2,1.7,141,1,"Male","Primary",3,"Income without Work",0,0,3560698,0,199.8,1030000,1030000,0,0,5192901.17080292,0,0,6750771.5220438,0,0,1,-1068209.4,1,38209.4000000001,0,0.0107308735534438
"414","21501553811",15,1,"Rural",6049796,5705000,4,2.7,244,2,"Male","Primary",5,"Employed",3e+05,2e+05,5549796,0,205.8,1720000,1720000,3e+05,300437.95620438,8336846.8379562,450000,333486.131386861,10837900.8893431,0.0495884489328235,0.0330589659552157,0.917352585111961,-1829680.8235675,1,109680.823567501,0,0.0181296730612901
"415","21501554002",15,1,"Rural",7825777.33333333,6802750,6,3.7,244,1,"Male","Primary",5,"Employed",0,350000,7475777.33333333,0,205.8,2050000,2050000,0,525766.423357664,11230036.3153285,0,583600.729927007,14599047.209927,0,0.0447239916358469,0.955276008364153,-2276094.68443104,1,226094.684431041,0,0.0288910193582951
"416","21501554005",15,1,"Rural",7794828.33333333,6978000,5,3.2,244,2,"Male","Secondary",12,"Employed",0,0,7794828.33333333,0,205.8,2050000,2050000,0,0,11709311.4671533,0,0,15222104.9072993,0,0,1,-2338448.5,1,288448.5,1,0.0370051125778482
"417","21501554011",15,1,"Rural",4073231.33333333,3367500,2,1.7,244,2,"Male","Illiterate",0,"Employed",0,2e+05,3873231.33333333,0,205.8,1030000,1030000,0,300437.95620438,5818328.52846715,0,333486.131386861,7563827.0870073,0,0.0491010658695709,0.950898934130429,-1181047.24115561,1,151047.241155614,0,0.0370829026869939
"418","21502554805",15,1,"Rural",7082379.33333333,6868000,4,2.7,372,3,"Male","Secondary",8,"Employed",0,260000,6822379.33333333,0,205.8,1720000,1720000,0,390569.343065693,10248508.5167883,0,433531.97080292,13323061.0718248,0,0.0367108266534533,0.963289173346547,-2071462.95297322,1,351462.952973215,0,0.0496249828527327
"419","21502555708",15,1,"Rural",2079750,1903250,1,1,372,2,"Male","Illiterate",0,"Income without Work",0,0,2079750,0,205.8,550000,550000,0,0,3124179.19708029,0,0,4061432.95620438,0,0,1,-623925,1,73925.0000000001,0,0.0355451376367352
"420","21503557017",15,1,"Rural",4127648,3990250,2,1.7,432,3,"Male","Illiterate",0,"Income without Work",0,2e+05,3927648,0,205.8,1030000,1030000,0,300437.95620438,5900072.6890511,0,333486.131386861,7670094.49576642,0,0.0484537441177155,0.951546255882285,-1197370.15103963,1,167370.151039628,0,0.0405485523570876
"421","21504557208",15,1,"Rural",6135296,5820500,4,2.9,333,2,"Male","Secondary",8,"Employed",0,0,6135296,0,205.8,1720000,1720000,0,0,9216378.95474453,0,0,11981292.6411679,0,0,1,-1840588.8,1,120588.8,0,0.0196549278144038
"422","21504557702",15,1,"Rural",6945379.33333333,6182250,4,3.1,333,2,"Male","Illiterate",0,"Employed",0,250000,6695379.33333333,0,205.8,1720000,1720000,0,375547.445255474,10057730.4145985,0,416857.664233577,13075049.5389781,0,0.0359951541883625,0.964004845811637,-2032408.17017937,1,312408.170179374,0,0.0449807210212431
"423","21504557705",15,1,"Rural",4092231.33333333,3896500,2,1.7,333,2,"Male","Illiterate",0,"Employed",0,2e+05,3892231.33333333,0,205.8,1030000,1030000,0,300437.95620438,5846870.13430657,0,333486.131386861,7600931.17459854,0,0.0488730923813854,0.951126907618615,-1186746.50507574,1,156746.505075739,0,0.0383034321151293
"424","21504557811",15,1,"Rural",7579411.66666667,7093000,5,3.8,333,1,"Male","Primary",5,"Employed",0,6e+05,6979411.66666667,0,205.8,2050000,2050000,0,901313.868613139,10484400.8832117,0,1000458.39416058,13629721.1481752,0,0.0791618170891452,0.920838182910855,-2151347.73991014,1,101347.739910143,0,0.0133714520819417
"425","21504558008",15,1,"Rural",8322245,7120000,5,3.2,333,2,"Male","Secondary",8,"Employed",0,2e+05,8122245,0,205.8,2050000,2050000,0,300437.95620438,12201153.4379562,0,333486.131386861,15861499.4693431,0,0.0240319769485277,0.975968023051472,-2455670.29224627,1,405670.292246271,0,0.0487452955598245
"426","21504558105",15,1,"Rural",7902578.33333333,7532000,5,3.2,333,3,"Male","Primary",5,"Employed",0,3e+05,7602578.33333333,0,205.8,2050000,2050000,0,450656.934306569,11420515.4817518,0,500229.197080292,14846670.1262774,0,0.0379622937408403,0.96203770625916,-2309336.28350554,1,259336.283505538,0,0.0328166672403168
"427","21504558117",15,1,"Rural",7708828.33333333,6869500,5,3.2,333,2,"Male","Secondary",12,"Employed",0,4e+05,7308828.33333333,0,205.8,2050000,2050000,0,600875.912408759,10979247.2335766,0,666972.262773723,14273021.4036496,0,0.0518885598049163,0.948111440195084,-2230822.17995286,1,180822.179952863,0,0.0234565062463486
"428","21505558405",15,1,"Rural",3998166.66666667,3581500,2,1.7,286,2,"Male","Illiterate",0,"Income without Work",0,3e+05,3698166.66666667,0,205.8,1030000,1030000,0,450656.934306569,5555348.17518248,0,500229.197080292,7221952.62773723,0,0.0750343907624328,0.924965609237567,-1138192.18908451,1,108192.189084507,0,0.0270604499773664
"429","21505558702",15,1,"Rural",5120180.33333333,5013250,3,2,286,3,"Female","Primary",5,"Employed",0,150000,4970180.33333333,0,205.8,1380000,1380000,0,225328.467153285,7466154.10656934,0,250114.598540146,9706000.33854015,0,0.0292958431607324,0.970704156839268,-1505314.47114131,1,125314.471141313,0,0.0244746206155068
"430","21505558817",15,1,"Rural",8649661.66666667,7569500,5,3.6,286,2,"Male","Illiterate",0,"Employed",0,1270000,7379661.66666667,0,205.8,2050000,2050000,0,1907781.02189781,11085652.3430657,0,2117636.93430657,14411348.0459854,0,0.146826552175355,0.853173447824645,-2337036.15232269,1,287036.152322694,0,0.0331846681852135
"431","21506559408",15,1,"Rural",5839597,4996000,3,2.2,317,2,"Male","Primary",5,"Employed",0,4e+05,5439597,0,205.8,1380000,1380000,0,600875.912408759,8171307.02627737,0,666972.262773723,10622699.1341606,0,0.0684978775076431,0.931502122492357,-1670159.90972298,1,290159.909722978,0,0.0496883448845833
"432","21507560002",15,1,"Rural",8166161.66666667,7781000,5,3.2,219,3,"Male","Primary",5,"Employed",3e+05,3e+05,7566161.66666667,0,205.8,2050000,2050000,3e+05,450656.934306569,11365810.7372263,450000,500229.197080292,14775553.9583942,0.0367369655715445,0.0367369655715445,0.926526068856911,-2444037.76270561,1,394037.762705611,0,0.0482525057413482
"433","21507560302",15,1,"Rural",4342032.33333333,4185000,2,1.7,219,3,"Male","Illiterate",0,"Income without Work",0,370000,3972032.33333333,0,205.8,1030000,1030000,0,555810.218978102,5966746.3810219,0,616949.343065694,7756770.29532847,0,0.0852135524555053,0.914786447544495,-1227119.00385281,1,197119.003852814,0,0.045397866418348
"434","21507560314",15,1,"Rural",4298564.66666667,4244500,2,1.7,219,3,"Male","Illiterate",0,"Income without Work",0,250000,4048564.66666667,0,205.8,1030000,1030000,0,375547.445255474,6081712.47007299,0,416857.664233577,7906226.21109489,0,0.058158948250478,0.941841051749522,-1238453.24115086,1,208453.241150862,0,0.0484936850589496
