"","Year","WomanEmploy","ProvinceCode"
"1",84,0.116992896383477,0
"2",84,0.271933990647167,1
"3",84,0.307865645182195,2
"4",84,0.232406585659735,3
"5",84,0.380471713995797,4
"6",84,0.140295081996464,5
"7",84,0.119759064013625,6
"8",84,0.180900149239983,7
"9",84,0.182028525732603,8
"10",84,0.259960747521903,9
"11",84,0.181865022738612,10
"12",84,0.116265279272018,11
"13",84,0.241296356403808,12
"14",84,0.248897694080306,13
"15",84,0.242990813294393,14
"16",84,0.167545554260939,15
"17",84,0.279547651219281,16
"18",84,0.0463441410808602,17
"19",84,0.0740182061972997,18
"20",84,0.123025921454132,19
"21",84,0.0971185722179338,20
"22",84,0.224633410274585,21
"23",84,0.141984504774785,22
"24",84,0.0894933890381245,23
"25",84,0.352355534951312,24
"26",84,0.071668552098767,25
"27",84,0.121154855596375,26
"28",84,0.239311296472816,27
"29",84,0.0604252380815375,28
"30",84,0.206696417322832,29
"31",85,0.137647670621952,0
"32",85,0.259318335866719,1
"33",85,0.285980763837764,2
"34",85,0.327484707634632,3
"35",85,0.373693425581415,4
"36",85,0.158611765325428,5
"37",85,0.119306385464951,6
"38",85,0.172963078984631,7
"39",85,0.186047653894161,8
"40",85,0.265449932437357,9
"41",85,0.172195835137085,10
"42",85,0.120944623179491,11
"43",85,0.284093361258256,12
"44",85,0.244640386664444,13
"45",85,0.242461446065248,14
"46",85,0.0534484158177745,15
"47",85,0.281197816191373,16
"48",85,0.0564546248761208,17
"49",85,0.0786343453830018,18
"50",85,0.155571152267858,19
"51",85,0.0665695352183339,20
"52",85,0.224400604013762,21
"53",85,0.13541319062145,22
"54",85,0.110090887547673,23
"55",85,0.343961507263521,24
"56",85,0.0638964182358607,25
"57",85,0.129901260155221,26
"58",85,0.24692419625269,27
"59",85,0.0713079379693299,28
"60",85,0.111140299747571,29
"61",86,0.126621300045228,0
"62",86,0.283164128503591,1
"63",86,0.225061805289795,2
"64",86,0.332481566331408,3
"65",86,0.353943235581785,4
"66",86,0.195088931395472,5
"67",86,0.106718203994878,6
"68",86,0.175205179349918,7
"69",86,0.13931541719973,8
"70",86,0.268638678029309,9
"71",86,0.208676725014989,10
"72",86,0.105194497181192,11
"73",86,0.229954316490091,12
