"","Year","Sex","ProvinceCode"
"1",84,0.142484138149954,0
"2",84,0.0722371093242526,1
"3",84,0.0671132745049789,2
"4",84,0.0740521639905765,3
"5",84,0.0616573491983552,4
"6",84,0.0739646623292869,5
"7",84,0.0743306593998537,6
"8",84,0.0853791441722181,7
"9",84,0.106492482373439,8
"10",84,0.0933606552445559,9
"11",84,0.0935273881669134,10
"12",84,0.0948270744791443,11
"13",84,0.113750399547046,12
"14",84,0.130003394504384,13
"15",84,0.0821546643904879,14
"16",84,0.0562373535585186,15
"17",84,0.0743891060818459,16
"18",84,0.0473815504225724,17
"19",84,0.0965565344506217,18
"20",84,0.0742769519851339,19
"21",84,0.105717291246996,20
"22",84,0.0928846192534276,21
"23",84,0.0850853942712985,22
"24",84,0.0905162757532384,23
"25",84,0.0900250293692798,24
"26",84,0.105438147340359,25
"27",84,0.0779995946729498,26
"28",84,0.0782333376139634,27
"29",84,0.0800615703311563,28
"30",84,0.121301696972273,29
"31",85,0.10824361560302,0
"32",85,0.0976461723575087,1
"33",85,0.0930194777084554,2
"34",85,0.126372046347372,3
"35",85,0.0946344418057891,4
"36",85,0.0809843440269678,5
"37",85,0.058145880043164,6
"38",85,0.102291588485951,7
"39",85,0.158989936354296,8
"40",85,0.115537036449751,9
"41",85,0.0720856627951977,10
"42",85,0.0838143201358613,11
"43",85,0.0715659147234607,12
"44",85,0.119983515454505,13
"45",85,0.0681669760294576,14
"46",85,0.0874822555325008,15
"47",85,0.0930549204785462,16
"48",85,0.0465066391886896,17
"49",85,0.0804338778952502,18
"50",85,0.078920761039082,19
"51",85,0.117592838555345,20
"52",85,0.101949746690735,21
"53",85,0.096994612996225,22
"54",85,0.0974234082851208,23
"55",85,0.0855496740958015,24
"56",85,0.099352932889982,25
"57",85,0.0698283108897891,26
"58",85,0.093771280165042,27
"59",85,0.085586911577935,28
"60",85,0.133851603047846,29
"61",86,0.0970127637163339,0
"62",86,0.0820124933651901,1
"63",86,0.104455677082181,2
"64",86,0.0850438928922692,3
"65",86,0.0623623091661906,4
"66",86,0.0705810862275809,5
"67",86,0.0769956182240971,6
"68",86,0.107878578937935,7
"69",86,0.166791062122534,8
"70",86,0.137756870186466,9
"71",86,0.103940415890626,10
"72",86,0.104397426820193,11
"73",86,0.0903069860867612,12
"74",86,0.126045718090119,13
"75",86,0.0891305744630055,14
"76",86,0.058275077105698,15
"77",86,0.107042146765029,16
"78",86,0.0632995687018664,17
"79",86,0.0867973198752934,18
"80",86,0.0791906843888914,19
"81",86,0.115820634849783,20
"82",86,0.07907525258597,21
"83",86,0.0926573814385331,22
"84",86,0.10178099807174,23
"85",86,0.115686924023129,24
"86",86,0.0805865186364237,25
"87",86,0.0579678859875415,26
"88",86,0.0851306956467908,27
"89",86,0.0773408712612642,28
"90",86,0.155231934178803,29
"91",87,0.0970113879679714,0
"92",87,0.112263649247674,1
"93",87,0.101072734756311,2
"94",87,0.108077475270274,3
"95",87,0.0942675154513534,4
"96",87,0.108489400032507,5
"97",87,0.0754160316790787,6
"98",87,0.115783780180076,7
"99",87,0.195483045616111,8
"100",87,0.111428688164198,9
"101",87,0.122416092448134,10
"102",87,0.12051705022778,11
"103",87,0.0739556595951665,12
"104",87,0.0871941631972706,13
"105",87,0.0787764742903172,14
"106",87,0.112010751563983,15
"107",87,0.0921881744434006,16
"108",87,0.0625141064282519,17
"109",87,0.0822830457089603,18
"110",87,0.0941949749595867,19
"111",87,0.102988888544115,20
"112",87,0.0893699594049158,21
"113",87,0.127688453595337,22
"114",87,0.0941392188832865,23
"115",87,0.131219610956805,24
"116",87,0.0894892040523478,25
"117",87,0.111112984684173,26
"118",87,0.113139274455487,27
"119",87,0.122698033760332,28
"120",87,0.20181059938142,29
"121",88,0.110360131403302,0
"122",88,0.124250483350988,1
"123",88,0.103164704315989,2
"124",88,0.101223008013019,3
"125",88,0.110055396998771,4
"126",88,0.11114154150078,5
"127",88,0.0765395646468591,6
"128",88,0.142075298879221,7
"129",88,0.126534363066433,8
"130",88,0.133487063156193,9
"131",88,0.145464530598547,10
"132",88,0.109947350727232,11
"133",88,0.0948288531487719,12
"134",88,0.104663991975882,13
"135",88,0.0922945707331564,14
"136",88,0.123945779224507,15
"137",88,0.0937760947238639,16
"138",88,0.0580746718484517,17
"139",88,0.06940879537759,18
"140",88,0.139525295048083,19
"141",88,0.136697847168038,20
"142",88,0.0956818949818464,21
"143",88,0.147364178257772,22
"144",88,0.108010108005122,23
"145",88,0.129909718988552,24
"146",88,0.0975246593331366,25
"147",88,0.0960589479636794,26
"148",88,0.122372917155605,27
"149",88,0.128694433617791,28
"150",88,0.229931057143155,29
"151",89,0.128007268538883,0
"152",89,0.129527190427076,1
"153",89,0.113621443117912,2
"154",89,0.107106249224855,3
"155",89,0.109609562051772,4
"156",89,0.126625819335637,5
"157",89,0.103285276393276,6
"158",89,0.139320990966785,7
"159",89,0.124614483103336,8
"160",89,0.138977236529386,9
"161",89,0.149760024653011,10
"162",89,0.111550747052643,11
"163",89,0.108024356551012,12
"164",89,0.108426422211244,13
"165",89,0.116115677996305,14
"166",89,0.0803048999214059,15
"167",89,0.10264461187015,16
"168",89,0.0585126447597889,17
"169",89,0.0999047046151813,18
"170",89,0.109541316550382,19
"171",89,0.131639608122111,20
"172",89,0.104680026215094,21
"173",89,0.142150738477606,22
"174",89,0.110449472369369,23
"175",89,0.116544550831034,24
"176",89,0.076507250174941,25
"177",89,0.104026609979953,26
"178",89,0.111465369810127,27
"179",89,0.138126133584538,28
"180",89,0.15646017623853,29
