"","FoodType","ProvinceCode","N","Average_New","KCalories","Protein","Average_Protein"
"229","Mast",13,319,45.1648115554546,1.5,0.04,1.80659246221818
"230","Mive",13,320,161.30418918963,0.5,0,0
"231","Morgh",13,291,50.6581401963887,2,0.22,11.1447908432055
"232","Nan",13,362,373.577053287296,2.5,0.10125,37.8246766453388
"233","Panir",13,260,13.1041985087565,2.5,0.333333333333333,4.36806616958549
"234","Roghan",13,236,22.6776292161024,8,0,0
"235","Sabzi",13,356,168.313305846197,0.5,0.04,6.73253223384788
"236","Shir",13,289,71.6072951737802,2.5,0.0321428571428571,2.30166305915722
"237","Sibzamini",13,245,50.8281217745129,0.9,0.03,1.52484365323539
"238","Tokhmemorgh",13,340,26.9620781777365,1.4,0.0882352941176471,2.37900689803558
"239","Berenj",14,74,53.1793267591419,2.4,0.09,4.78613940832278
"240","Ghand",14,138,55.499353269818,4,0.03,1.66498059809454
"241","Goosht",14,48,7.86655618974209,2.5,0.225,1.76997514269197
"242","Hoboobat",14,41,6.38059604076414,3,0.1,0.638059604076414
"243","Khoshkbar",14,53,3.91976579024431,6,0.2,0.783953158048863
"244","Mahi",14,3,0.455803068835171,1,0.22,0.100276675143738
"245","Makarooni",14,115,119.672294345244,3.6,0.0642857142857143,7.69321892219424
"246","Mast",14,95,53.0821972261317,1.5,0.04,2.12328788904527
"247","Mive",14,137,150.236109691679,0.5,0,0
"248","Morgh",14,133,77.8916888555653,2,0.22,17.1361715482244
"249","Nan",14,67,119.43372865923,2.5,0.10125,12.0926650267471
"250","Panir",14,112,13.3644834710422,2.5,0.333333333333333,4.45482782368075
"251","Roghan",14,130,25.2442991151094,8,0,0
"252","Sabzi",14,144,139.511465867013,0.5,0.04,5.58045863468053
"253","Shir",14,123,100.357908583131,2.5,0.0321428571428571,3.22578991874351
"254","Sibzamini",14,136,60.0367871589333,0.9,0.03,1.801103614768
"255","Tokhmemorgh",14,134,22.1473364366988,1.4,0.0882352941176471,1.9541767444146
"256","Berenj",15,128,45.0304911691103,2.4,0.09,4.05274420521993
"257","Ghand",15,198,33.1592468796969,4,0.03,0.994777406390907
"258","Goosht",15,75,4.53348812215616,2.5,0.225,1.02003482748514
"259","Hoboobat",15,74,4.36903393284699,3,0.1,0.436903393284699
"260","Khoshkbar",15,102,3.45700668554563,6,0.2,0.691401337109127
"261","Mahi",15,25,1.38649386170635,1,0.22,0.305028649575396
"262","Makarooni",15,124,33.4336675666576,3.6,0.0642857142857143,2.14930720071371
"263","Mast",15,143,16.8753208367606,1.5,0.04,0.675012833470426
"264","Mive",15,226,80.2025929437381,0.5,0,0
"265","Morgh",15,227,60.7252620679074,2,0.22,13.3595576549396
"266","Nan",15,233,421.697529185653,2.5,0.10125,42.6968748300473
"267","Panir",15,168,6.72545780953787,2.5,0.333333333333333,2.24181926984596
"268","Roghan",15,150,25.5107929697194,8,0,0
"269","Sabzi",15,247,94.3652363301941,0.5,0.04,3.77460945320776
"270","Shir",15,176,49.0384637762482,2.5,0.0321428571428571,1.57623633566512
"271","Sibzamini",15,243,48.8740553199035,0.9,0.03,1.46622165959711
"272","Tokhmemorgh",15,241,15.4748239148814,1.4,0.0882352941176471,1.36542563954836
"273","Berenj",16,96,48.8094254502912,2.4,0.09,4.3928482905262
"274","Ghand",16,139,30.5941404358443,4,0.03,0.917824213075329
"275","Goosht",16,21,2.44220675788163,2.5,0.225,0.549496520523368
"276","Hoboobat",16,94,8.08922421749393,3,0.1,0.808922421749393
"277","Khoshkbar",16,84,3.93050118835776,6,0.2,0.786100237671552
"278","Mahi",16,11,0.991226660826032,1,0.22,0.218069865381727
"279","Makarooni",16,103,43.3667275854061,3.6,0.0642857142857143,2.78786105906182
"280","Mast",16,102,18.5076372249076,1.5,0.04,0.740305488996305
"281","Mive",16,146,107.482849511603,0.5,0,0
"282","Morgh",16,144,55.1380142948171,2,0.22,12.1303631448598
"283","Nan",16,135,386.841203886116,2.5,0.10125,39.1676718934692
"284","Panir",16,119,5.23774983507234,2.5,0.333333333333333,1.74591661169078
"285","Roghan",16,129,29.8024796171228,8,0,0
"286","Sabzi",16,152,115.097483088547,0.5,0.04,4.60389932354188
"287","Shir",16,97,21.5758396265473,2.5,0.0321428571428571,0.693509130853307
"288","Sibzamini",16,149,47.8064163398199,0.9,0.03,1.4341924901946
"289","Tokhmemorgh",16,130,12.6242590428787,1.4,0.0882352941176471,1.11390520966577
"290","Berenj",17,92,35.6088225910115,2.4,0.09,3.20479403319103
"291","Ghand",17,320,55.879391493894,4,0.03,1.67638174481682
"292","Goosht",17,144,9.14283060347197,2.5,0.225,2.05713688578119
"293","Hoboobat",17,280,24.9339768478886,3,0.1,2.49339768478886
"294","Khoshkbar",17,284,7.84393899608778,6,0.2,1.56878779921756
"295","Mahi",17,46,3.04854120210115,1,0.22,0.670679064462253
"296","Makarooni",17,247,66.7475889104119,3.6,0.0642857142857143,4.29091642995505
"297","Mast",17,83,15.476238866968,1.5,0.04,0.61904955467872
"298","Mive",17,317,306.205266141123,0.5,0,0
"299","Morgh",17,320,79.7446391896689,2,0.22,17.5438206217272
"300","Nan",17,312,175.696397298311,2.5,0.10125,17.789260226454
"301","Panir",17,306,15.6902999498909,2.5,0.333333333333333,5.23009998329697
"302","Roghan",17,285,34.2934172443428,8,0,0
"303","Sabzi",17,320,310.724341407865,0.5,0.04,12.4289736563146
"304","Shir",17,69,11.8014148877777,2.5,0.0321428571428571,0.379331192821425
"305","Sibzamini",17,311,97.3714115883975,0.9,0.03,2.92114234765193
"306","Tokhmemorgh",17,314,28.3909235868908,1.4,0.0882352941176471,2.50508149296095
"307","Berenj",18,78,68.0267555836337,2.4,0.09,6.12240800252703
"308","Ghand",18,101,22.7211401626243,4,0.03,0.68163420487873
"309","Goosht",18,14,1.29204595359509,2.5,0.225,0.290710339558895
"310","Hoboobat",18,90,13.2134471105635,3,0.1,1.32134471105635
"311","Khoshkbar",18,44,3.34584364349574,6,0.2,0.669168728699149
"312","Mahi",18,68,21.4817280054798,1,0.22,4.72598016120556
"313","Makarooni",18,99,26.2896160130348,3.6,0.0642857142857143,1.6900467436951
"314","Mast",18,101,24.3969097405551,1.5,0.04,0.975876389622203
"315","Mive",18,105,140.394598213028,0.5,0,0
"316","Morgh",18,108,37.4424604392647,2,0.22,8.23734129663822
"317","Nan",18,116,406.149146997047,2.5,0.10125,41.122601133451
"318","Panir",18,110,8.51813373290276,2.5,0.333333333333333,2.83937791096759
"319","Roghan",18,113,25.758149440137,8,0,0
"320","Sabzi",18,120,184.093833036236,0.5,0.04,7.36375332144942
"321","Shir",18,51,23.1740598606212,2.5,0.0321428571428571,0.744880495519968
"322","Sibzamini",18,119,79.3218131539333,0.9,0.03,2.379654394618
"323","Tokhmemorgh",18,119,18.5394607168357,1.4,0.0882352941176471,1.63583476913256
"324","Berenj",19,83,28.5006618797836,2.4,0.09,2.56505956918052
"325","Ghand",19,233,20.68755552793,4,0.03,0.620626665837901
"326","Goosht",19,147,6.98225222939869,2.5,0.225,1.57100675161471
"327","Hoboobat",19,145,12.5313613905947,3,0.1,1.25313613905947
"328","Khoshkbar",19,105,3.02471618592584,6,0.2,0.604943237185168
"329","Mahi",19,134,4.71654320694229,1,0.22,1.0376395055273
"330","Makarooni",19,181,24.4619564046294,3.6,0.0642857142857143,1.5725543402976
"331","Mast",19,172,27.947047789874,1.5,0.04,1.11788191159496
"332","Mive",19,271,158.705350793647,0.5,0,0
"333","Morgh",19,255,60.6771915473447,2,0.22,13.3489821404158
"334","Nan",19,279,429.842156353766,2.5,0.10125,43.5215183308188
"335","Panir",19,96,3.97753622295103,2.5,0.333333333333333,1.32584540765034
"336","Roghan",19,190,23.5031183364507,8,0,0
"337","Sabzi",19,276,117.83253697293,0.5,0.04,4.71330147891721
"338","Shir",19,248,96.2212371124987,2.5,0.0321428571428571,3.09282547861603
"339","Sibzamini",19,143,27.0632896541784,0.9,0.03,0.811898689625352
"340","Tokhmemorgh",19,274,18.3580235288807,1.4,0.0882352941176471,1.61982560548948
"341","Berenj",20,128,42.0617667494054,2.4,0.09,3.78555900744648
"342","Ghand",20,288,35.104145752922,4,0.03,1.05312437258766
"343","Goosht",20,81,4.40799719272839,2.5,0.225,0.991799368363888
"344","Hoboobat",20,131,6.34957835289633,3,0.1,0.634957835289633
"345","Khoshkbar",20,8,0.206464706803384,6,0.2,0.0412929413606768
"346","Mahi",20,33,0.885312595533969,1,0.22,0.194768771017473
"347","Makarooni",20,255,30.200402938319,3.6,0.0642857142857143,1.94145447460622
"348","Mast",20,205,23.1137822158737,1.5,0.04,0.924551288634948
"349","Mive",20,307,105.09301188867,0.5,0,0
"350","Morgh",20,283,33.1773558245716,2,0.22,7.29901828140576
"351","Nan",20,316,419.27002334722,2.5,0.10125,42.451089863906
"352","Panir",20,274,8.08389052942155,2.5,0.333333333333333,2.69463017647385
"353","Roghan",20,297,40.3298802548295,8,0,0
