,Region,NewArea,NewArea2,Decile,N,Mean
658,Urban,1,Sh_Arak,8,17,2045955.474
600,Urban,2,Mazandaran,8,67,3599087.722
529,Urban,3,Az_Sharghi,8,41,2878767.457
508,Urban,4,Az_Gharbi,8,55,901537.0658
550,Urban,5,Kermanshah,8,76,2225712.761
554,Urban,6,Khoozestan,8,39,2862349.245
586,Urban,7,Fars,8,34,2211439.176
476,Urban,8,Kerman,8,26,1073822.029
556,Urban,9,Khorasan_Razavi,8,41,3654719.693
571,Urban,10,Esfahan,8,44,3100364.049
415,Urban,11,Sistan,8,51,1291645.466
607,Urban,12,Kordestan,8,68,2295675.243
485,Urban,13,Hamedan,8,65,1876742.848
678,Urban,14,Chaharmahal,8,41,3208944.886
490,Urban,15,Lorestan,8,59,2956504.971
517,Urban,16,Ilam,8,72,2169285.265
627,Urban,17,Kohkilooye,8,85,2559817.804
584,Urban,18,Booshehr,8,84,2796360.442
541,Urban,19,Zanjan,8,91,2578922.231
457,Urban,20,Semnan,8,76,1591464.868
603,Urban,21,Yazd,8,46,4402257.127
648,Urban,22,Hormozgan,8,63,2882016.267
630,Urban,23,Tehran,8,54,1140592.638
578,Urban,24,Ardebil,8,53,2245842.669
605,Urban,25,Ghom,8,47,2876795.274
583,Urban,26,Ghazvin,8,64,3368331.929
518,Urban,27,Golestan,8,106,2646883.516
502,Urban,28,Khorasan_Shomali,8,94,2691111.977
509,Urban,29,Khorasan_Jonoobi,8,46,2830650.241
684,Urban,30,Alborz,8,15,1156106.311
647,Urban,105,Sh_Rasht,8,25,3551878.454
574,Urban,303,Sh_Tabriz,8,30,2733161.952
527,Urban,401,Sh_Urmia,8,15,1459157.579
585,Urban,502,Sh_Kermanshah,8,26,1749451.131
714,Urban,603,Sh_Ahvaz,8,17,2490322.386
635,Urban,707,Sh_Shiraz,8,40,2466191.661
664,Urban,808,Sh_Kerman,8,7,2643141.117
621,Urban,916,Sh_Mashhad,8,41,2733330.323
663,Urban,1002,Sh_Esfahan,8,60,2710864.092
547,Urban,1105,Sh_Zahedan,8,13,1634555.736
608,Urban,1304,Sh_Hamedan,8,21,1689574.348
632,Urban,2105,Sh_Yazd,8,25,2434166.851
654,Urban,2202,Sh_Bandarabas,8,18,4599634.434
776,Urban,2301,Sh_Tehran,8,120,2868984.871
698,Urban,3001,Sh_Karaj,8,39,2682218.001
646,Rural,0,Markazi,8,67,1935727.018
568,Rural,1,Gilan,8,41,2033011.137
595,Rural,2,Mazandaran,8,57,2990122.829
572,Rural,3,Az_Sharghi,8,49,2386974.103
535,Rural,4,Az_Gharbi,8,47,1003198.067
488,Rural,5,Kermanshah,8,91,1875150.888
495,Rural,6,Khoozestan,8,55,1230762.651
558,Rural,7,Fars,8,59,2734905.198
436,Rural,8,Kerman,8,26,589838.9479
538,Rural,9,Khorasan_Razavi,8,72,1302177.396
577,Rural,10,Esfahan,8,58,2752966.39
386,Rural,11,Sistan,8,15,1002929.991
575,Rural,12,Kordestan,8,17,1530278.126
512,Rural,13,Hamedan,8,38,1804422.469
614,Rural,14,Chaharmahal,8,21,4811844.886
398,Rural,15,Lorestan,8,46,1430400.525
472,Rural,16,Ilam,8,41,975732.2245
650,Rural,17,Kohkilooye,8,14,2214530.685
564,Rural,18,Booshehr,8,57,2474553.383
587,Rural,19,Zanjan,8,35,2175493.334
473,Rural,20,Semnan,8,39,1093607.804
597,Rural,21,Yazd,8,63,2164353.049
576,Rural,22,Hormozgan,8,58,2300341.395
613,Rural,23,Tehran,8,43,2637040.468
618,Rural,24,Ardebil,8,20,3526504.245
545,Rural,25,Ghom,8,23,1617840.7
559,Rural,26,Ghazvin,8,66,1778505.04
445,Rural,27,Golestan,8,59,1737660.08
499,Rural,28,Khorasan_Shomali,8,49,1350357.747
465,Rural,29,Khorasan_Jonoobi,8,20,2481904.567
644,Rural,30,Alborz,8,95,1811998.087
673,Urban,0,Markazi,9,57,2773090.067
679,Urban,1,Gilan,9,110,3683710.05
711,Urban,1,Sh_Arak,9,14,2490042.539
669,Urban,2,Mazandaran,9,75,3673640.202
615,Urban,3,Az_Sharghi,9,27,3439554.53
601,Urban,4,Az_Gharbi,9,63,1200949.939
628,Urban,5,Kermanshah,9,89,2713895.556
634,Urban,6,Khoozestan,9,45,2411628.142
660,Urban,7,Fars,9,39,3497893.671
569,Urban,8,Kerman,9,21,1887483.972
639,Urban,9,Khorasan_Razavi,9,46,2696873.131
643,Urban,10,Esfahan,9,36,3262227.361
519,Urban,11,Sistan,9,52,2128612.76
676,Urban,12,Kordestan,9,59,2691331.539
579,Urban,13,Hamedan,9,77,2091349.747
729,Urban,14,Chaharmahal,9,56,3840053.651
581,Urban,15,Lorestan,9,61,3328105.251
609,Urban,16,Ilam,9,50,2982054.783
692,Urban,17,Kohkilooye,9,65,3273614.389
661,Urban,18,Booshehr,9,72,2836309.094
624,Urban,19,Zanjan,9,101,3126226.376
555,Urban,20,Semnan,9,72,2323038.244
674,Urban,21,Yazd,9,45,2930449.308
710,Urban,22,Hormozgan,9,63,3323152.947
696,Urban,23,Tehran,9,55,2136785.635
659,Urban,24,Ardebil,9,49,3764524.818
677,Urban,25,Ghom,9,61,3106216.872
662,Urban,26,Ghazvin,9,63,2460048.576
612,Urban,27,Golestan,9,130,3138883.503
594,Urban,28,Khorasan_Shomali,9,85,3530869.103
602,Urban,29,Khorasan_Jonoobi,9,48,3782286.73
728,Urban,30,Alborz,9,15,2125896.361
708,Urban,105,Sh_Rasht,9,20,4750710.288
652,Urban,303,Sh_Tabriz,9,31,3156187.559
631,Urban,401,Sh_Urmia,9,9,915609.7941
657,Urban,502,Sh_Kermanshah,9,22,2114646.529
760,Urban,603,Sh_Ahvaz,9,30,3890973.98
702,Urban,707,Sh_Shiraz,9,42,2870153.51
721,Urban,808,Sh_Kerman,9,8,4097725.08
686,Urban,916,Sh_Mashhad,9,55,1995522.231
720,Urban,1002,Sh_Esfahan,9,59,3505729.905
626,Urban,1105,Sh_Zahedan,9,11,6273355.365
671,Urban,1304,Sh_Hamedan,9,32,2733390.784
695,Urban,2105,Sh_Yazd,9,25,3410898.784
718,Urban,2202,Sh_Bandarabas,9,38,4327765.815
779,Urban,2301,Sh_Tehran,9,142,5232741.317
743,Urban,3001,Sh_Karaj,9,53,2954835.122
706,Rural,0,Markazi,9,49,2157874.221
642,Rural,1,Gilan,9,28,2156248.364
667,Rural,2,Mazandaran,9,69,3399123.217
645,Rural,3,Az_Sharghi,9,46,2608923.258
620,Rural,4,Az_Gharbi,9,30,1024268.084
580,Rural,5,Kermanshah,9,83,1577712.103
588,Rural,6,Khoozestan,9,45,2822141.06
638,Rural,7,Fars,9,44,2340264.303
543,Rural,8,Kerman,9,16,1249398.869
622,Rural,9,Khorasan_Razavi,9,59,1666402.998
651,Rural,10,Esfahan,9,52,3204746.641
484,Rural,11,Sistan,9,8,1362887.518
649,Rural,12,Kordestan,9,12,911740.659
606,Rural,13,Hamedan,9,40,1346392.127
685,Rural,14,Chaharmahal,9,18,5135299.874
510,Rural,15,Lorestan,9,41,1762791.219
570,Rural,16,Ilam,9,30,1509990.781
717,Rural,17,Kohkilooye,9,5,1972054.322
655,Rural,18,Booshehr,9,33,3596032.067
665,Rural,19,Zanjan,9,14,3031203.406
565,Rural,20,Semnan,9,23,1392832.557
666,Rural,21,Yazd,9,54,4407691.96
653,Rural,22,Hormozgan,9,49,3521610.778
682,Rural,23,Tehran,9,26,2117735.818
687,Rural,24,Ardebil,9,20,3603790.236
625,Rural,25,Ghom,9,24,2029452.257
641,Rural,26,Ghazvin,9,59,2252445.252
551,Rural,27,Golestan,9,40,3491597.128
596,Rural,28,Khorasan_Shomali,9,26,1530060.381
561,Rural,29,Khorasan_Jonoobi,9,22,1354635.699
707,Rural,30,Alborz,9,53,2858085.705
751,Urban,0,Markazi,10,56,5345823.984
750,Urban,1,Gilan,10,96,5808016.494
769,Urban,1,Sh_Arak,10,8,2342356.821
745,Urban,2,Mazandaran,10,101,5409567.979
705,Urban,3,Az_Sharghi,10,50,4583069.41
699,Urban,4,Az_Gharbi,10,45,1999715.86
719,Urban,5,Kermanshah,10,68,3861816.711
726,Urban,6,Khoozestan,10,33,4843176.69
746,Urban,7,Fars,10,34,9567756.211
688,Urban,8,Kerman,10,24,2376325.012
727,Urban,9,Khorasan_Razavi,10,51,5112549.401
732,Urban,10,Esfahan,10,41,5218119.312
636,Urban,11,Sistan,10,36,2946931.156
747,Urban,12,Kordestan,10,31,5572142.271
689,Urban,13,Hamedan,10,48,3291816.057
774,Urban,14,Chaharmahal,10,43,9043321.587
693,Urban,15,Lorestan,10,51,6665497.607
704,Urban,16,Ilam,10,45,5327739.791
759,Urban,17,Kohkilooye,10,47,5939088.995
738,Urban,18,Booshehr,10,66,6583946.732
715,Urban,19,Zanjan,10,92,4799351.529
672,Urban,20,Semnan,10,72,2434060.777
749,Urban,21,Yazd,10,35,5957130.48
766,Urban,22,Hormozgan,10,71,5561884.913
763,Urban,23,Tehran,10,31,1956028.465
737,Urban,24,Ardebil,10,40,6832220.192
748,Urban,25,Ghom,10,59,5312359.166
740,Urban,26,Ghazvin,10,54,3379712.727
703,Urban,27,Golestan,10,131,5294086.109
694,Urban,28,Khorasan_Shomali,10,89,6531803.501
697,Urban,29,Khorasan_Jonoobi,10,48,3511059.88
773,Urban,30,Alborz,10,11,2084073.423
772,Urban,105,Sh_Rasht,10,29,6115647.787
736,Urban,303,Sh_Tabriz,10,54,8958553.299
713,Urban,401,Sh_Urmia,10,20,2809034.051
739,Urban,502,Sh_Kermanshah,10,37,6004480.043
778,Urban,603,Sh_Ahvaz,10,49,5696410.437
761,Urban,707,Sh_Shiraz,10,66,4447216.866
777,Urban,808,Sh_Kerman,10,4,2830968.538
757,Urban,916,Sh_Mashhad,10,66,5994094.666
771,Urban,1002,Sh_Esfahan,10,68,5353044.963
723,Urban,1105,Sh_Zahedan,10,28,8484969.463
752,Urban,1304,Sh_Hamedan,10,48,4241263.623
762,Urban,2105,Sh_Yazd,10,21,3702696.336
767,Urban,2202,Sh_Bandarabas,10,24,9950495.602
780,Urban,2301,Sh_Tehran,10,191,6676674.865
775,Urban,3001,Sh_Karaj,10,75,4810592.988
764,Rural,0,Markazi,10,60,4272529.758
731,Rural,1,Gilan,10,24,3298555.232
744,Rural,2,Mazandaran,10,61,4814884.651
733,Rural,3,Az_Sharghi,10,41,4257299.522
709,Rural,4,Az_Gharbi,10,26,2822513.673
690,Rural,5,Kermanshah,10,64,2913369.003
691,Rural,6,Khoozestan,10,35,3331795.124
725,Rural,7,Fars,10,37,3292893.567
656,Rural,8,Kerman,10,6,2018433.339
712,Rural,9,Khorasan_Razavi,10,49,2412394.32
735,Rural,10,Esfahan,10,46,4837829.865
633,Rural,11,Sistan,10,8,2541859.757
754,Rural,12,Kordestan,10,5,4114427.4
700,Rural,13,Hamedan,10,28,1652691.976
755,Rural,14,Chaharmahal,10,12,2619730.362
637,Rural,15,Lorestan,10,22,2958099.428
681,Rural,16,Ilam,10,14,3274152.868
768,Rural,17,Kohkilooye,10,2,819474.5
730,Rural,18,Booshehr,10,20,5263642.426
741,Rural,19,Zanjan,10,21,4061546.811
680,Rural,20,Semnan,10,17,1820641.956
742,Rural,21,Yazd,10,72,6008467.633
734,Rural,22,Hormozgan,10,36,4752742.142
756,Rural,23,Tehran,10,27,4383723.022
758,Rural,24,Ardebil,10,20,2486604.766
716,Rural,25,Ghom,10,16,2492859.375
724,Rural,26,Ghazvin,10,34,2272133.496
670,Rural,27,Golestan,10,45,5352002.959
701,Rural,28,Khorasan_Shomali,10,18,6295180.326
675,Rural,29,Khorasan_Jonoobi,10,18,4396123.419
765,Rural,30,Alborz,10,51,3629361.38
