,Region,NewArea,NewArea2,Decile,N,Mean
182,Urban,105,Sh_Rasht,2,11,809673.3027
124,Urban,303,Sh_Tabriz,2,20,1504430.948
128,Urban,401,Sh_Urmia,2,4,915841.1293
153,Urban,502,Sh_Kermanshah,2,10,696204.1667
281,Urban,603,Sh_Ahvaz,2,19,1248132.542
177,Urban,707,Sh_Shiraz,2,6,1175783.18
211,Urban,808,Sh_Kerman,2,9,887918.7828
159,Urban,916,Sh_Mashhad,2,26,907055.8493
208,Urban,1002,Sh_Esfahan,2,12,1997364.106
108,Urban,1105,Sh_Zahedan,2,13,643190.9893
143,Urban,1304,Sh_Hamedan,2,20,1270662.128
173,Urban,2105,Sh_Yazd,2,11,842160.3856
202,Urban,2202,Sh_Bandarabas,2,20,1370966.863
542,Urban,2301,Sh_Tehran,2,63,1674410.58
257,Urban,3001,Sh_Karaj,2,17,669733.4137
183,Rural,0,Markazi,2,126,907634.2881
116,Rural,1,Gilan,2,56,456716.125
138,Rural,2,Mazandaran,2,49,1050991.744
118,Rural,3,Az_Sharghi,2,110,1366111.003
102,Rural,4,Az_Gharbi,2,88,327786.7722
86,Rural,5,Kermanshah,2,49,529080.0782
88,Rural,6,Khoozestan,2,109,656405.5054
111,Rural,7,Fars,2,116,886473.3561
77,Rural,8,Kerman,2,110,264347.1824
103,Rural,9,Khorasan_Razavi,2,133,618306.3801
125,Rural,10,Esfahan,2,94,739919.7635
70,Rural,11,Sistan,2,100,88544.4242
119,Rural,12,Kordestan,2,48,861094.2131
95,Rural,13,Hamedan,2,80,495802.3547
156,Rural,14,Chaharmahal,2,98,741033.7606
72,Rural,15,Lorestan,2,78,482992.0979
84,Rural,16,Ilam,2,87,305019.749
192,Rural,17,Kohkilooye,2,118,364856.7784
115,Rural,18,Booshehr,2,64,917014.1499
132,Rural,19,Zanjan,2,85,1210197.504
81,Rural,20,Semnan,2,68,485721.7266
135,Rural,21,Yazd,2,53,1128920.049
122,Rural,22,Hormozgan,2,85,405060.0567
152,Rural,23,Tehran,2,52,481983.7201
155,Rural,24,Ardebil,2,89,899792.7085
106,Rural,25,Ghom,2,57,614447.5338
112,Rural,26,Ghazvin,2,43,1503788.214
78,Rural,27,Golestan,2,86,637681.5355
89,Rural,28,Khorasan_Shomali,2,116,571783.0492
79,Rural,29,Khorasan_Jonoobi,2,119,535875.5736
187,Rural,30,Alborz,2,27,1196022.038
231,Urban,0,Markazi,3,36,1748686.759
241,Urban,1,Gilan,3,51,1178636.377
297,Urban,1,Sh_Arak,3,13,1064439.62
233,Urban,2,Mazandaran,3,20,1323979.762
163,Urban,3,Az_Sharghi,3,22,1506205.375
158,Urban,4,Az_Gharbi,3,36,370500.1802
179,Urban,5,Kermanshah,3,19,573879.7842
180,Urban,6,Khoozestan,3,46,946725.1578
219,Urban,7,Fars,3,33,1168511.661
130,Urban,8,Kerman,3,62,653861.729
191,Urban,9,Khorasan_Razavi,3,33,800917.3963
200,Urban,10,Esfahan,3,36,1183565.273
104,Urban,11,Sistan,3,50,718847.72
239,Urban,12,Kordestan,3,46,832309.285
137,Urban,13,Hamedan,3,54,833849.7951
335,Urban,14,Chaharmahal,3,75,1341559.618
140,Urban,15,Lorestan,3,36,839265.5624
162,Urban,16,Ilam,3,31,854214.6236
263,Urban,17,Kohkilooye,3,49,987503.5641
218,Urban,18,Booshehr,3,49,736485.038
172,Urban,19,Zanjan,3,45,1165166.105
123,Urban,20,Semnan,3,27,1187475.413
232,Urban,21,Yazd,3,38,2264403.39
301,Urban,22,Hormozgan,3,54,1254614.988
268,Urban,23,Tehran,3,56,473133.5878
210,Urban,24,Ardebil,3,52,1076764.222
235,Urban,25,Ghom,3,51,1203690.593
217,Urban,26,Ghazvin,3,22,1724872.256
161,Urban,27,Golestan,3,92,1697132.487
149,Urban,28,Khorasan_Shomali,3,42,648038.5967
154,Urban,29,Khorasan_Jonoobi,3,71,1078815.061
329,Urban,30,Alborz,3,5,789438.5398
292,Urban,105,Sh_Rasht,3,9,1531298.757
207,Urban,303,Sh_Tabriz,3,29,1286457.852
170,Urban,401,Sh_Urmia,3,4,1496623.264
214,Urban,502,Sh_Kermanshah,3,10,701462.4772
409,Urban,603,Sh_Ahvaz,3,16,1049445.784
283,Urban,707,Sh_Shiraz,3,15,1035307.802
326,Urban,808,Sh_Kerman,3,10,1032729.671
254,Urban,916,Sh_Mashhad,3,34,1145199.276
320,Urban,1002,Sh_Esfahan,3,19,707809.8111
171,Urban,1105,Sh_Zahedan,3,12,786122.6553
234,Urban,1304,Sh_Hamedan,3,17,832851.2423
273,Urban,2105,Sh_Yazd,3,17,1426519.625
302,Urban,2202,Sh_Bandarabas,3,24,2836293.997
629,Urban,2301,Sh_Tehran,3,79,2420499.362
369,Urban,3001,Sh_Karaj,3,23,1529794.097
293,Rural,0,Markazi,3,88,876611.3106
195,Rural,1,Gilan,3,50,583793.1915
227,Rural,2,Mazandaran,3,61,1185884.566
201,Rural,3,Az_Sharghi,3,73,1880020.791
167,Rural,4,Az_Gharbi,3,62,504036.5763
139,Rural,5,Kermanshah,3,66,596343.5664
144,Rural,6,Khoozestan,3,100,773558.2468
189,Rural,7,Fars,3,102,957379.2874
110,Rural,8,Kerman,3,82,673793.602
168,Rural,9,Khorasan_Razavi,3,104,586203.8168
215,Rural,10,Esfahan,3,73,1173394.108
92,Rural,11,Sistan,3,77,218334.4584
205,Rural,12,Kordestan,3,51,651968.8061
157,Rural,13,Hamedan,3,67,790712.7715
248,Rural,14,Chaharmahal,3,74,1803440.933
101,Rural,15,Lorestan,3,70,445781.6289
129,Rural,16,Ilam,3,67,455713.6461
303,Rural,17,Kohkilooye,3,94,644707.6815
193,Rural,18,Booshehr,3,74,962347.7331
221,Rural,19,Zanjan,3,64,1528104.696
127,Rural,20,Semnan,3,84,472686.1591
225,Rural,21,Yazd,3,65,1130739.571
209,Rural,22,Hormozgan,3,56,945832.8704
245,Rural,23,Tehran,3,63,507187.8946
247,Rural,24,Ardebil,3,59,1009633.076
174,Rural,25,Ghom,3,53,616279.3501
188,Rural,26,Ghazvin,3,51,1521854.223
113,Rural,27,Golestan,3,77,857901.7428
148,Rural,28,Khorasan_Shomali,3,105,683150.1152
121,Rural,29,Khorasan_Jonoobi,3,96,652782.5609
296,Rural,30,Alborz,3,38,651165.8855
310,Urban,0,Markazi,4,36,2054243.238
319,Urban,1,Gilan,4,61,1547641.567
375,Urban,1,Sh_Arak,4,19,928240.9225
307,Urban,2,Mazandaran,4,30,1498251
229,Urban,3,Az_Sharghi,4,26,1867269.749
213,Urban,4,Az_Gharbi,4,30,832716.8359
253,Urban,5,Kermanshah,4,39,1406549.911
255,Urban,6,Khoozestan,4,42,1305044.768
289,Urban,7,Fars,4,35,1293894.222
181,Urban,8,Kerman,4,46,1162191.693
259,Urban,9,Khorasan_Razavi,4,34,1220331.66
271,Urban,10,Esfahan,4,38,1347151.153
146,Urban,11,Sistan,4,57,448012.1031
314,Urban,12,Kordestan,4,55,1194143.605
194,Urban,13,Hamedan,4,41,1528547.54
419,Urban,14,Chaharmahal,4,88,1710703.052
199,Urban,15,Lorestan,4,41,1317546.827
222,Urban,16,Ilam,4,43,799370.039
344,Urban,17,Kohkilooye,4,60,1365732.326
290,Urban,18,Booshehr,4,51,924881.5262
242,Urban,19,Zanjan,4,42,1380245.725
175,Urban,20,Semnan,4,39,893571.5227
311,Urban,21,Yazd,4,37,1944971.625
383,Urban,22,Hormozgan,4,72,1708940.089
349,Urban,23,Tehran,4,77,564535.3667
282,Urban,24,Ardebil,4,52,1317371.156
313,Urban,25,Ghom,4,52,1519272.11
288,Urban,26,Ghazvin,4,42,1465175.146
223,Urban,27,Golestan,4,120,1006399.364
206,Urban,28,Khorasan_Shomali,4,78,1094748.599
212,Urban,29,Khorasan_Jonoobi,4,71,1675973.256
416,Urban,30,Alborz,4,15,1189124.173
395,Urban,105,Sh_Rasht,4,13,860911.8574
285,Urban,303,Sh_Tabriz,4,24,1789729.932
228,Urban,401,Sh_Urmia,4,7,761384.0822
284,Urban,502,Sh_Kermanshah,4,15,848157.2106
492,Urban,603,Sh_Ahvaz,4,18,1394728.162
354,Urban,707,Sh_Shiraz,4,26,1101411.71
413,Urban,808,Sh_Kerman,4,9,957750.6623
334,Urban,916,Sh_Mashhad,4,28,1101828.846
404,Urban,1002,Sh_Esfahan,4,15,1369400.63
243,Urban,1105,Sh_Zahedan,4,17,1280127.401
309,Urban,1304,Sh_Hamedan,4,15,1520362.439
357,Urban,2105,Sh_Yazd,4,13,1829143.15
389,Urban,2202,Sh_Bandarabas,4,28,2457733.659
683,Urban,2301,Sh_Tehran,4,78,2261875.136
463,Urban,3001,Sh_Karaj,4,21,1026300.792
371,Rural,0,Markazi,4,78,1445991.479
265,Rural,1,Gilan,4,47,922120.9092
300,Rural,2,Mazandaran,4,50,1409283.107
272,Rural,3,Az_Sharghi,4,55,1321736.151
238,Rural,4,Az_Gharbi,4,68,386280.1281
198,Rural,5,Kermanshah,4,70,863568.8478
203,Rural,6,Khoozestan,4,96,819908.4078
261,Rural,7,Fars,4,92,991039.2908
