"","Year","Educ","ProvinceCode"
"1",84,0.087193541226048,0
"2",84,0.111086088802396,1
"3",84,0.12064686539376,2
"4",84,0.0913543153430746,3
"5",84,0.0562622835076315,4
"6",84,0.0926253227205577,5
"7",84,0.0812846440844459,6
"8",84,0.105519033038438,7
"9",84,0.111865368848529,8
"10",84,0.114644527444165,9
"11",84,0.137551196831963,10
"12",84,0.0443210426761356,11
"13",84,0.0495665098914552,12
"14",84,0.0614567428369203,13
"15",84,0.0827962226049072,14
"16",84,0.108531780326539,15
"17",84,0.0883688726368535,16
"18",84,0.0797974568691987,17
"19",84,0.0908580762825723,18
"20",84,0.0986838880652739,19
"21",84,0.136824199787492,20
"22",84,0.13509705110805,21
"23",84,0.0612466057321083,22
"24",84,0.192548787073883,23
"25",84,0.0692798613443138,24
"26",84,0.0804924278676961,25
"27",84,0.105264943077445,26
"28",84,0.081132771127106,27
"29",84,0.0730461429773999,28
"30",84,0.0573229304125012,29
"31",85,0.107780271406343,0
"32",85,0.121266740996431,1
"33",85,0.130438710964969,2
"34",85,0.100643626878509,3
"35",85,0.0588833190645335,4
"36",85,0.0710105776045359,5
"37",85,0.0924495014675031,6
"38",85,0.108774857419035,7
"39",85,0.107395928602361,8
"40",85,0.106453856774664,9
"41",85,0.140475149160458,10
"42",85,0.0423405198497634,11
"43",85,0.0546829383505917,12
"44",85,0.0920763760993734,13
"45",85,0.0855767544201213,14
"46",85,0.10074457803192,15
"47",85,0.0985031800641638,16
"48",85,0.103255303648838,17
"49",85,0.0938779583408026,18
"50",85,0.0739003772922758,19
"51",85,0.142920092155345,20
"52",85,0.126520584891713,21
"53",85,0.0810844953726194,22
"54",85,0.178660171610723,23
"55",85,0.0643833022260923,24
"56",85,0.10666501609106,25
"57",85,0.111082644063359,26
"58",85,0.0914900491330479,27
"59",85,0.0588669892517229,28
"60",85,0.0805219524106395,29
"61",86,0.103142846764347,0
"62",86,0.121983961316642,1
"63",86,0.158558976769749,2
"64",86,0.0880264832532488,3
"65",86,0.0726001399094612,4
"66",86,0.100298817098338,5
"67",86,0.0897565077181736,6
"68",86,0.110936864748769,7
"69",86,0.103190276071519,8
"70",86,0.123589460439774,9
"71",86,0.159434327288442,10
"72",86,0.0583408431996771,11
"73",86,0.0642976190796905,12
"74",86,0.0822348699694437,13
"75",86,0.109026791941342,14
"76",86,0.0972063411180553,15
"77",86,0.136400600312263,16
"78",86,0.106610993424349,17
"79",86,0.0829245253111787,18
"80",86,0.113560594190268,19
"81",86,0.164459634331863,20
"82",86,0.16139920090152,21
"83",86,0.0747230933545231,22
"84",86,0.173634313764658,23
"85",86,0.0938645196102897,24
"86",86,0.153264504720901,25
"87",86,0.127094998987273,26
"88",86,0.0921623376731672,27
"89",86,0.0970755755624263,28
"90",86,0.0952381245685314,29
"91",87,0.138310720516839,0
"92",87,0.127317367371093,1
"93",87,0.171224895571597,2
