"","FoodType","Region","N","Average_New","KCalories","Protein","Average_Protein"
"1","Berenj","Urban",12423,72.3271103595292,3.56,0.069,4.99057061480751
"2","Ghand","Urban",16978,35.6073883229864,3.87878787878788,0,0
"3","Goosht","Urban",11920,15.7113406107561,2.79411764705882,0.141176470588235,2.21807161563615
"4","Hoboobat","Urban",12657,16.7351497253242,3.5,0.227777777777778,3.81189521521274
"5","Khoshkbar","Urban",9646,7.8744364636305,6,0.2,1.5748872927261
"6","Mahi","Urban",8703,9.26054695850849,1,0.179032258064516,1.65793663289426
"7","Makarooni","Urban",14400,20.5880711245073,3.625,0.125,2.57350889056341
"8","Mast","Urban",14846,36.437004615663,1.2,0.0521052631578947,1.89855971418455
"9","Mive","Urban",18042,178.408252179208,0.504716981132076,0.00518867924528302,0.925703195269476
"10","Morgh","Urban",17120,51.7470577764162,2,0.179032258064516,9.26439260190677
"11","Nan","Urban",18328,268.473894649348,2.834375,0.0890625,23.9109562422076
"12","Panir","Urban",16516,10.1794403564933,2.5,0.0521052631578947,0.530402418575175
"13","Roghan","Urban",17036,31.9442326475787,9,0,0
"14","Sabzi","Urban",18443,153.944899076605,0.280701754385965,0.0140350877192982,2.16063016247867
"15","Shir","Urban",14600,70.3919394618237,0.6,0.0521052631578947,3.66779052985292
"16","Sibzamini","Urban",17643,52.0586336455399,0.808823529411765,0.0235294117647059,1.22490902695388
"17","Tokhmemorgh","Urban",17815,17.3926369177889,1.28,0.104,1.80883423945004
"18","Berenj","Rural",12836,63.9498681437281,3.56,0.069,4.41254090191724
"19","Ghand","Rural",17717,39.0689112803726,3.87878787878788,0,0
"20","Goosht","Rural",9711,14.4604533966411,2.79411764705882,0.141176470588235,2.04147577364345
"21","Hoboobat","Rural",13531,15.382406163621,3.5,0.227777777777778,3.50377029282479
"22","Khoshkbar","Rural",8823,5.00695498084321,6,0.2,1.00139099616864
"23","Mahi","Rural",6872,7.13220518993279,1,0.179032258064516,1.27689480013313
"24","Makarooni","Rural",14932,64.8239225979876,3.625,0.125,8.10299032474845
"25","Mast","Rural",11220,22.0841699213487,1.2,0.0521052631578947,1.15070148537554
"26","Mive","Rural",17974,138.833007444816,0.504716981132076,0.00518867924528302,0.72035994428914
"27","Morgh","Rural",17654,50.9799326906222,2,0.179032258064516,9.12705246557914
"28","Nan","Rural",16773,262.379485809548,2.834375,0.0890625,23.3681729549129
"29","Panir","Rural",14786,7.66893553455636,2.5,0.0521052631578947,0.399591904168989
"30","Roghan","Rural",17214,32.4055225773267,9,0,0
"31","Sabzi","Rural",18748,130.938793615929,0.280701754385965,0.0140350877192982,1.83773745425865
"32","Shir","Rural",13702,71.8463060184392,0.6,0.0521052631578947,3.74357068201341
"33","Sibzamini","Rural",17920,53.4653964055909,0.808823529411765,0.0235294117647059,1.25800932719037
"34","Tokhmemorgh","Rural",18055,15.9057331935132,1.28,0.104,1.65419625212537
