"","Year","Marrital","ProvinceCode"
"1",84,0.831028551330083,0
"2",84,0.90717028805582,1
"3",84,0.910819429097089,2
"4",84,0.897572652227005,3
"5",84,0.902798306869396,4
"6",84,0.905766831075333,5
"7",84,0.90988513809607,6
"8",84,0.890197304902601,7
"9",84,0.879833102580754,8
"10",84,0.900464598642552,9
"11",84,0.884078206600404,10
"12",84,0.909631084926982,11
"13",84,0.868305227275831,12
"14",84,0.865727879714153,13
"15",84,0.897084244759279,14
"16",84,0.910294688448404,15
"17",84,0.88393269949663,16
"18",84,0.916578286857704,17
"19",84,0.867598584530244,18
"20",84,0.8944348726613,19
"21",84,0.880488923214489,20
"22",84,0.890694596259501,21
"23",84,0.877847291767786,22
"24",84,0.88102942795014,23
"25",84,0.917159897213802,24
"26",84,0.889960056617173,25
"27",84,0.925335699761771,26
"28",84,0.902293144937228,27
"29",84,0.907533734211813,28
"30",84,0.856099141502723,29
"31",85,0.864585050285706,0
"32",85,0.877770438091415,1
"33",85,0.883420729499726,2
"34",85,0.86622797894658,3
"35",85,0.881826649464533,4
"36",85,0.89336200617391,5
"37",85,0.909121823618784,6
"38",85,0.887781256955455,7
"39",85,0.826565180113464,8
"40",85,0.875351832178809,9
"41",85,0.893926691684533,10
"42",85,0.906489020361784,11
"43",85,0.904934790140208,12
"44",85,0.872162167610437,13
"45",85,0.897680438787778,14
"46",85,0.882344140712111,15
"47",85,0.88195443612295,16
"48",85,0.926033559590844,17
"49",85,0.874844406616719,18
"50",85,0.905530751041558,19
"51",85,0.867021668296081,20
"52",85,0.891939354512704,21
"53",85,0.896841642208172,22
"54",85,0.875509848239995,23
"55",85,0.912169633334655,24
"56",85,0.882020105463488,25
"57",85,0.915916038861224,26
"58",85,0.884058801800146,27
"59",85,0.885189376035249,28
"60",85,0.83324777945672,29
"61",86,0.881535291137464,0
"62",86,0.89865392922709,1
"63",86,0.868898792018262,2
"64",86,0.910872279057597,3
"65",86,0.891541520187789,4
"66",86,0.918032208440231,5
"67",86,0.890879205203037,6
"68",86,0.868644722187672,7
"69",86,0.81992446410533,8
"70",86,0.870595348024086,9
"71",86,0.872026067688384,10
"72",86,0.893391623700502,11
"73",86,0.908911390485312,12
"74",86,0.862185826832678,13
"75",86,0.888117288937409,14
"76",86,0.909027310942895,15
"77",86,0.861757619890946,16
"78",86,0.913440752880612,17
"79",86,0.878604400217121,18
"80",86,0.899318555353536,19
"81",86,0.865671951531435,20
"82",86,0.875753923051248,21
"83",86,0.897610495716159,22
"84",86,0.863754863894596,23
"85",86,0.891573611551376,24
"86",86,0.890237209202326,25
"87",86,0.921652063877966,26
"88",86,0.900500579256736,27
"89",86,0.906319888633432,28
"90",86,0.817701326898477,29
"91",87,0.872884399641112,0
"92",87,0.869313549072748,1
"93",87,0.879978926426286,2
"94",87,0.881597099304865,3
"95",87,0.8827755868305,4
"96",87,0.867067815837495,5
"97",87,0.899527877831674,6
"98",87,0.886535911354462,7
"99",87,0.788654680958752,8
"100",87,0.874303147856066,9
"101",87,0.86173312224441,10
"102",87,0.87673259567385,11
"103",87,0.89253959373232,12
"104",87,0.884517011881672,13
"105",87,0.89806251714472,14
"106",87,0.862424289461212,15
"107",87,0.872485848139154,16
"108",87,0.916152996055575,17
"109",87,0.879247344117617,18
"110",87,0.883584117956,19
"111",87,0.874673526355427,20
"112",87,0.892158142524659,21
"113",87,0.873720086731923,22
"114",87,0.877128317857116,23
"115",87,0.883473502486373,24
"116",87,0.904698956430742,25
"117",87,0.864119291608206,26
"118",87,0.871136171954813,27
"119",87,0.876626250441085,28
"120",87,0.798138298014453,29
"121",88,0.869555537953251,0
"122",88,0.843936307827913,1
"123",88,0.872595003195807,2
"124",88,0.892277347324941,3
"125",88,0.874291798914477,4
"126",88,0.878865085183928,5
"127",88,0.890979996377564,6
"128",88,0.855609975084197,7
"129",88,0.86139686563329,8
"130",88,0.860195223689312,9
"131",88,0.849431948357887,10
"132",88,0.896417163395201,11
"133",88,0.881322197711684,12
"134",88,0.868081473459405,13
"135",88,0.892401400101113,14
"136",88,0.85130846327575,15
"137",88,0.887841551924819,16
"138",88,0.914522894407084,17
"139",88,0.905552067802813,18
"140",88,0.856068955244834,19
"141",88,0.854163788901788,20
"142",88,0.875192937288589,21
"143",88,0.855291475939415,22
"144",88,0.858943812063823,23
"145",88,0.842628114048488,24
"146",88,0.891431555064361,25
"147",88,0.884762691175812,26
"148",88,0.868127568878408,27
"149",88,0.858801441089267,28
"150",88,0.759801789571,29
"151",89,0.858143450409435,0
"152",89,0.861190932230087,1
"153",89,0.852828719626234,2
"154",89,0.867190998320432,3
"155",89,0.861665156215642,4
"156",89,0.859948205846834,5
"157",89,0.870197115329714,6
"158",89,0.856354335098914,7
"159",89,0.856078411834969,8
"160",89,0.849527368979539,9
"161",89,0.854829296817485,10
"162",89,0.901506027503727,11
"163",89,0.874823854388542,12
"164",89,0.879449016863433,13
"165",89,0.878521232218594,14
"166",89,0.906924672951391,15
"167",89,0.878883380893494,16
"168",89,0.911951829491376,17
"169",89,0.880857364792616,18
"170",89,0.883794294487478,19
"171",89,0.84961120464405,20
"172",89,0.866332950003377,21
"173",89,0.860896710398499,22
"174",89,0.847036657680353,23
"175",89,0.865652045005709,24
"176",89,0.909052132166616,25
"177",89,0.881929986276391,26
"178",89,0.873400937433759,27
"179",89,0.852255638146774,28
"180",89,0.811982414046221,29
"181",90,0.853520670365827,0
"182",90,0.860747422272368,1
"183",90,0.849516073176538,2
"184",90,0.866859808334998,3
"185",90,0.857610662749394,4
