"","Year","Region","HLiterate","Knowledge","tenure","area","room","car","oven","frez_refrig","electricity","bathroom","ego","pipewater","cookfuel","heatfuel","hotwater","G0451","G0452","G0453","G044","Energy_Share","Subsidy","Food_Share","Low_Calorie","Low_Protein","FoodKCaloriesHH_Per","No_Insurance","Area_Per","skeleton","House_High_Share","Tech_low","Equip_low"
"1",90,"Urban",0.191207312364131,0.0844338299012905,0.674985973719927,31.6409113794419,1.13383577154149,0.602063256284784,0.0146727035610471,0.992782918739173,0.000127464730247156,0.0181494904773386,0.697057736036306,0.00238203250854991,0.0833678555155331,0.0844757375390138,0.0846457217544276,0.0165469082862796,0.0243743101461078,0.00067808105506651,0.0124727347436643,0.0540720342311182,0.139267922777162,0.262621504073758,0.393379773616593,0.197669958938427,2669.27269429209,0.31557343618001,0.188695837311491,0.0334018936992782,0.118126406196696,0.188028081873359,0.0211272754340287
"2",90,"Rural",0.416652625721003,0.198278355934186,0.859560912785445,25.2940205505295,1.0066698670373,0.802598036079184,0.0484654273750889,0.977815893276698,0.00384748465921854,0.18358547684968,0.986706123975133,0.070046851172797,0.553614642026002,0.558649331921798,0.558277313647907,0.0195723204098202,0.0256379169298732,0.0201066164717472,0.0101102798792442,0.0754271336906848,0.25149514707471,0.405380324677167,0.276449839427521,0.193607440163198,3233.85115924713,0.116471897455159,0.315550906655265,0.19048871872474,0.0266403856726717,0.441419140028537,0.0940530741569612
"3",91,"Urban",0.191317189865895,0.0680732754067056,0.684713137896418,32.4633385086654,1.18445899172323,0.580009725208826,0.0138197319208438,0.994827348057631,0,0.0158698045194643,0.672120247686917,0.00165935630261553,0.0785426628659339,0.079346063431202,0.0795389307344416,0.0142648071000591,0.0154556563761817,0.000553721556233664,0.0101869425503478,0.0404611275828223,0.159662255467738,0.283560681093523,0.420985191967297,0.235431754252634,2663.37092106891,0.282325626768159,0.173254983787206,0.0330350768890976,0.109076406756403,0.182909692695152,0.0167245977704897
"4",91,"Rural",0.416806189258304,0.178689805422986,0.874206961695478,26.7544509279727,1.07063867913747,0.777422382088897,0.040596257200086,0.982087878181315,0.00271967294612461,0.154493646501893,0.984862655155255,0.0544404817809117,0.517033538262868,0.520765304524993,0.523309522847225,0.0173409641937221,0.0193569260293917,0.0156711912089119,0.00870595325486369,0.0610750346868895,0.267489748654806,0.430106592831016,0.275198252245852,0.195175375923286,3252.44378408827,0.100529071616967,0.271617952629743,0.180920891353449,0.024713215003347,0.433769029677097,0.0779896353834865
"5",92,"Urban",0.153715433555559,0.0765037976350765,0.642200412279194,32.4790562940016,1.24571413535635,0.559902651885716,0.0156312792011773,0.990126897283525,0.000168907860051302,0.013505242026399,0.647778780871704,0.00629682888833021,0.0756413448752163,0.0761223689665594,0.0770622775490537,0.0123900963559987,0.0137220701725089,0.000557641224566402,0.00916266567841202,0.0358324734314859,0.132771935552257,0.279043309107159,0.459295777432431,0.247915113840875,2477.79057677925,0.280607494339112,0.143782377861352,0.048362040139206,0.131202876916776,0.207079260579977,0.0166926863563215
"6",92,"Rural",0.356151894389832,0.170861240400246,0.852792532893295,26.6697027978969,1.06153153142801,0.763658493109927,0.0327635561620805,0.984002025009634,0.00355629996007633,0.131502112213506,0.991614075870508,0.0718257921646492,0.495848251234076,0.498430519855416,0.500326589288321,0.0163255788569687,0.0191511692428996,0.0109165003883409,0.00810441522700436,0.0544976637152135,0.233489624102971,0.439807498500376,0.311907121207681,0.208590042207516,3030.50162910966,0.0982016562238406,0.256619378132279,0.14547066504676,0.0234107705971939,0.475735007072678,0.0669453320127519
"7",93,"Urban",0.155620241203209,0.0687302149621127,0.656979673192861,33.0612059259246,1.26336913506853,0.543975371701489,0.0100545150478035,0.994149331326432,0,0.0130578558901819,0.607729858975139,0.00481946424961195,0.0709792251204552,0.0719708308951192,0.0722914990226422,0.0141858435767025,0.0166134700520974,0.000511745090327754,0.0094672650510817,0.0407783237702094,0.103495555954145,0.262165676569808,0.482005957419863,0.249397943715972,2424.7470979506,0.26768240683791,0.136631906750974,0.0473503144298293,0.127062267564944,0.204224446555503,0.0131267591528549
"8",93,"Rural",0.355937702486879,0.153720637402818,0.853425288397528,27.6178622720317,1.09903271122209,0.754989896733277,0.0246575657008129,0.988115999200024,0.00118298223590024,0.111863091006539,0.991622550144206,0.0570194389584871,0.455825855111033,0.459331107367208,0.462752420733769,0.0191702825338711,0.023936672460557,0.0100655806013712,0.00848266284537207,0.0616551984411713,0.197098136312177,0.420149863516853,0.360964713559438,0.228551172074185,2898.20564855572,0.103535907488546,0.241166367916494,0.147293209108101,0.0242529191731839,0.481807285388972,0.0537106065852451
"9",94,"Urban",0.161065405000366,0.0640660172472485,0.664493998782256,33.1087680733879,1.26579928820169,0.533502608535669,0.0115839288291532,0.99243843902317,0,0.00893775569235795,0.611468813715853,0.00327116887141504,0.0661993447352386,0.0678598982888151,0.068348135300818,0.0151715615955681,0.0175125694410358,0.000381811641408754,0.0100993922552375,0.0431653349332501,0.0930187917831345,0.254017940450742,0.466245039031787,0.246666399024099,2450.03389592286,0.181697942748887,0.135961659442776,0.0355047164529133,0.130666674396459,0.198836952645168,0.0119120965379465
"10",94,"Rural",0.356994603799649,0.142820665034575,0.867852616475113,28.5018859581316,1.13941337546488,0.7473995326685,0.0262606691808485,0.987742775397642,0.000834908743442911,0.0902229449446549,0.991840866012639,0.0503045181623852,0.4207306069895,0.424328154270462,0.427503726653921,0.0209362463409679,0.0253542666904579,0.00965966235049278,0.0094355611704973,0.0653857365524159,0.179580943445977,0.401187266976989,0.365006417681741,0.238183133089884,2834.33054825582,0.0814029024432623,0.223325148155375,0.129896763591666,0.0240756873101148,0.487852197911176,0.0517734679294898
