,???,???,HLiterate,Knowledge,tenure,area,room,car,oven,frez_refrig,electricity,bathroom,ego,pipewater,???? ???????? ??? ?? ??? ?????,heatfuel,hotwater,G0451,G0452,G0453,G044,Energy_Share,Subsidy,Food_Share,Low_Calorie,Low_Protein,FoodKCaloriesHH_Per,No_Insurance,Area_Per,skeleton,House_High_Share,Tech_low,Equip_low
50,94,2,0.330488104,0.116159566,0.655685905,22.83556941,0.994422637,0.82331935,0.017809774,0.99053339,0.000321797,0.058978921,0.734162407,0.019759844,0.18779347,0.190704063,0.191979078,0.020188326,0.023234955,0.001950163,0.01166069,0.057034135,0.177894743,0.320850038,0.648341518,0.450482253,1922.502,0.242434877,0.316460482,0.065701081,0.147971229,0.427529089,0.034471112
53,95,2,0.28997284,0.126727875,0.650930138,22.8058911,0.975376605,0.798447338,0.016509424,0.989152415,0.000179828,0.049666197,0.721756646,0.020376132,0.180066418,0.182217383,0.18218194,0.023292254,0.02454095,0.001905002,0.01427686,0.064015067,0.160830705,0.317297704,0.665568972,0.437114258,1925.266717,0.199449264,0.305320328,0.062675883,0.157268776,0.402290053,0.04027774
69,96,2,0.293775996,0.137018327,0.638304767,22.93118678,1.002204857,0.787690478,0.017949173,0.992037262,0.000818428,0.04603448,0.689132335,0.027059587,0.177565441,0.177823321,0.17948532,0.023019408,0.022093802,0.001820781,0.014460998,0.061394989,0.149326014,0.315855052,0.677523391,0.458257409,1894.796793,0.244299249,0.331138687,0.064934881,0.159633395,0.35511345,0.036236017
78,97,2,0.268747147,0.131134451,0.632638166,23.66896451,1.034857118,0.763845816,0.010391619,0.99091171,0.000975835,0.048039246,0.714641507,0.026936048,0.167653432,0.172388136,0.172159909,0.0212155,0.018559241,0.001511535,0.013882036,0.055168312,0.121546909,0.322626694,0.710556474,0.470906658,1854.705347,0.252145108,0.275185351,0.056866516,0.164803925,0.372171431,0.032198553
90,98,2,0.275602055,0.118314566,0.661637778,24.22150593,1.033250181,0.752828996,0.009885874,0.994356244,0,0.042045429,0.702107418,0.024483699,0.154579985,0.15755777,0.159729305,0.017500309,0.016636054,0.001273972,0.01150342,0.046913756,0.094308483,0.325775406,0.760136045,0.542612955,1758.162251,0.24403178,0.251485005,0.052254684,0.167215542,0.321843406,0.02678999
3,90,3,0.307646703,0.136216944,0.691556788,22.6870386,0.913688562,0.810354927,0.024538181,0.988640375,0.001089566,0.08405198,0.810864265,0.023267128,0.222719203,0.225290762,0.22605593,0.020006707,0.026060695,0.004945691,0.014458645,0.065471738,0.217894413,0.324185377,0.493421047,0.284997555,2236.828519,0.373731051,0.31938986,0.086583787,0.139206841,0.336153329,0.052097869
18,91,3,0.307168205,0.098697548,0.689775145,23.54276946,0.960931392,0.77727796,0.025383428,0.988761018,0.001891567,0.067023267,0.777564782,0.022803917,0.200135109,0.201369489,0.202956656,0.017097733,0.017203922,0.003465757,0.011322051,0.049089463,0.240980432,0.340028228,0.519748896,0.326682447,2218.212129,0.282500645,0.289618364,0.073759443,0.117591318,0.311749623,0.037260571
30,92,3,0.24761481,0.110041968,0.652677463,24.26345401,1.017042557,0.778594043,0.025644244,0.991143332,0.001508819,0.054742533,0.747263606,0.026054307,0.191925278,0.192840886,0.193731544,0.015695746,0.017167459,0.002659372,0.010287254,0.04580983,0.208299756,0.341264364,0.548602284,0.34352755,2090.116714,0.32535643,0.254378367,0.068830645,0.154282031,0.366890945,0.043115835
31,93,3,0.261808783,0.113520458,0.670939715,24.57671026,1.035190036,0.751209978,0.012412278,0.99037105,0,0.047099125,0.742036868,0.02269077,0.174131693,0.176356124,0.177761893,0.017846345,0.02091575,0.002425992,0.010007785,0.051195872,0.16495305,0.32028122,0.604712924,0.348126524,2045.302205,0.280730408,0.238041236,0.069891361,0.139444089,0.348135989,0.026881288
49,94,3,0.271308791,0.107379684,0.694075297,25.20614123,1.035445193,0.769392172,0.02142928,0.986927524,0.000194347,0.042605613,0.738563397,0.018793563,0.182574874,0.185174568,0.18611979,0.019990237,0.023184689,0.002731608,0.011433959,0.057340493,0.154578364,0.320291402,0.592287577,0.350191637,2048.309954,0.205328573,0.233896691,0.059301673,0.133556309,0.363732461,0.028519575
60,95,3,0.267989638,0.095260302,0.690419475,25.43088809,1.051219404,0.735638168,0.021516676,0.986328654,0,0.031771009,0.712027164,0.019021839,0.179091799,0.180876585,0.181628894,0.021400591,0.023662313,0.002650066,0.013744312,0.061457283,0.139426279,0.310188944,0.607250977,0.359822045,2035.66471,0.172174866,0.226945824,0.063087585,0.145141511,0.343395201,0.033704092
