"","Year","Bargh_Share","Gaz_Share","Decile","Energy_Share"
"1",77,0.0172080176497369,0.011212719211759,"1",0.0671685561157402
"2",77,0.013420286674977,0.00899207306230188,"3",0.0480217197003336
"3",77,0.0147773780108783,0.00949080024647103,"2",0.0559096573802414
"4",77,0.0124867331180384,0.00955300887274757,"5",0.0426058453589574
"5",77,0.0118140888731269,0.0091263176758982,"6",0.0377592407294908
"6",77,0.0141682538650238,0.00857684434371913,"4",0.0458011572228287
"7",77,0.0104622810601612,0.00922032818544095,"8",0.0355550405121937
"8",77,0.01226594129228,0.00900553951769325,"7",0.038625814518975
"9",77,0.0100488484738728,0.00811842022052293,"9",0.0320951526459159
"10",77,0.00839779842923661,0.00676288873566613,"10",0.0268727006841516
"11",78,0.016413016290511,0.0105558819160308,"4",0.0540841997966272
"12",78,0.0224487119175498,0.0103050860129888,"1",0.0756455967557862
"13",78,0.0167719247431992,0.0104506107694085,"3",0.0583034802649256
"14",78,0.0195351053831872,0.0105862434622508,"2",0.0650026306734874
"15",78,0.0149003659689232,0.00987507552749691,"5",0.0482103898998932
"16",78,0.0146860466820031,0.0103022388933489,"6",0.0487825282327699
"17",78,0.0144031442806801,0.0102482859373503,"7",0.046106098739955
"18",78,0.0120927393852015,0.00952171601249498,"9",0.0388171272805314
"19",78,0.0127157548217375,0.0102113310874928,"8",0.0412942535707468
"20",78,0.00973194529885904,0.00802986422138264,"10",0.0307625280073449
"21",79,0.0161791520759957,0.0107662519769681,"4",0.0540956609528407
"22",79,0.0195577170451082,0.0104230050067794,"2",0.0643959110712849
"23",79,0.0258028656948753,0.0111878698868878,"1",0.0788165244759663
"24",79,0.0179642730648095,0.0111824054949487,"3",0.0583776943543399
"25",79,0.015986550675072,0.01094612298553,"5",0.0523250727764551
"26",79,0.0142021747656737,0.00973972413581946,"6",0.0465647567745351
"27",79,0.0141918241081723,0.0103081996132322,"7",0.0443491861099769
"28",79,0.00982254953687478,0.00837705376633167,"10",0.0299032484086625
"29",79,0.01258754231712,0.00990732111117648,"9",0.0390614684617537
"30",79,0.0128512988644849,0.00957163684985337,"8",0.0406517036228749
"31",80,0.022936853117101,0.0125210117910754,"2",0.0685527284695219
"32",80,0.0263700209739572,0.0135215057065778,"1",0.0815514486849001
"33",80,0.0218764093131919,0.0135283839638275,"3",0.066123708362313
"34",80,0.0186706693373157,0.011792071290381,"4",0.0580949711107821
"35",80,0.0149217327177762,0.0112909187778841,"7",0.0468233520846254
"36",80,0.0176409696602145,0.0117024312781577,"5",0.0537181183032497
"37",80,0.0165501296710402,0.0121062176796815,"6",0.0524589611921684
"38",80,0.0127013431204444,0.0116860941385547,"9",0.0399343529919306
"39",80,0.0100815241215537,0.00864160839937192,"10",0.0312959158772426
"40",80,0.0134303913727461,0.0120521049838114,"8",0.0441383015068592
"41",81,0.0156685927599344,0.0126903919386404,"6",0.0490702589360061
"42",81,0.0145433520872805,0.0122582359691682,"7",0.0467362860633235
"43",81,0.0213990581679144,0.0128006543353435,"2",0.0625327267732086
"44",81,0.0179805748610726,0.0130083099856617,"4",0.0543048170579589
"45",81,0.0119717805453527,0.0112954836549369,"9",0.0390977130978043
"46",81,0.0193401434597799,0.0125399002150562,"3",0.0580232218513502
"47",81,0.0241537188649738,0.0137356298969269,"1",0.0739746985141398
"48",81,0.00968326000580372,0.00879773166238046,"10",0.0296173527793887
"49",81,0.0157562297632955,0.0118705196363141,"5",0.0494204102662845
"50",81,0.0133494487892922,0.0121171239738206,"8",0.0431858193047501
"51",82,0.0205011481354948,0.0142241787253646,"2",0.0643891607985884
"52",82,0.025308060752404,0.0142089336113211,"1",0.0739911387223848
"53",82,0.0173588214730826,0.0133939376134079,"5",0.0516115590831992
"54",82,0.0113407039847265,0.0115812029231937,"9",0.0378997377288362
"55",82,0.0195789222236627,0.0137088992453463,"3",0.0586694046315427
"56",82,0.0165517980000696,0.013779807627483,"4",0.0529283586482147
"57",82,0.0153150566427557,0.0132179650270043,"6",0.0471441888081415
"58",82,0.0136749638517225,0.0124092971947239,"8",0.0412958492777286
"59",82,0.0138080903856736,0.0125558847393051,"7",0.0449843916257609
"60",82,0.00951598290179078,0.00932720390006931,"10",0.0295671144269097
"61",83,0.0219106676424551,0.0151275477962597,"1",0.0671042895586718
"62",83,0.0193722498846518,0.015262513564014,"2",0.0598198304816117
"63",83,0.0122431595195878,0.0107612400281645,"8",0.0392262638022483
"64",83,0.0192852330897096,0.0148800103593801,"3",0.0610054630336783
"65",83,0.0175077398746609,0.013916879020718,"4",0.0554502268160557
"66",83,0.014612025313241,0.0121855869885558,"6",0.0458995245828644
"67",83,0.0161253223163717,0.0136368866093352,"5",0.0505404923733222
"68",83,0.0136713481398412,0.0111036988053062,"7",0.0432170949440646
"69",83,0.00862842746096334,0.00797882499730619,"10",0.027641055670881
"70",83,0.0113126775286229,0.00987107910070773,"9",0.0355497192689349
"71",84,0.0178603544009919,0.014161434605318,"2",0.0550172129591564
"72",84,0.0205542325953856,0.0159911253450112,"1",0.06380913132978
"73",84,0.014127625596688,0.0117647700683647,"5",0.0430953929961187
"74",84,0.013079867817034,0.0111327092833574,"6",0.0406185472624675
"75",84,0.0157003013538995,0.0140717678772846,"3",0.0502511658196231
"76",84,0.0145806142013875,0.012202882976484,"4",0.047130499930045
"77",84,0.0118559379399472,0.0106319453377805,"7",0.0375358893320792
"78",84,0.00963449177345825,0.00843915218182498,"9",0.0306835144645282
"79",84,0.00817898826652834,0.00664703187230462,"10",0.0252017202717357
