"","Year","cluster3","MetrPrice","House_Share","FoodKCaloriesHH_Per","SampleSize","Engle","FPLine","PovertyLine","PovertyHCR","PovertyGap","PovertyDepth"
"1",77,1,8769.79784545913,0.398581427883939,2435.17955517209,1720,0.18780456314,48005.8594886199,283785.304813693,0.134040239260468,0.246081191030747,0.0880611498753393
"2",77,2,3985.97636434008,0.305810197937505,2529.08949174324,977,0.241983753870328,39643.8390567223,179255.46116902,0.092052129958579,0.241177346018448,0.0848584715161691
"3",77,3,3150.07959104618,0.259658430868547,2578.94710965695,1913,0.258465673019187,38769.0612745916,162314.647702976,0.129084899838498,0.232679641443411,0.0801788172028713
"4",77,4,3075.22603464631,0.272691648340446,2706.6231617124,1588,0.262536781552625,34866.6577773848,137476.409230467,0.115768254275592,0.22919685129675,0.0838026890944618
"5",77,5,2815.92086539601,0.250546746809908,2883.55934599558,594,0.278774325113694,21086.5157160592,84362.9344594676,0.035133829065562,0.19027001154974,0.053858786120313
"6",77,6,2533.43977417299,0.228358934909439,2879.46763175718,1319,0.293859196670308,26422.2718892502,105257.023583757,0.0719880173799914,0.212560440814241,0.0747950899201571
"7",77,7,3577.71405917643,0.261279643032546,3152.78848044069,140,0.354396013509832,28887.1649138043,78117.3394527097,0.0523690773067332,0.190120298494241,0.0640811979354325
"8",77,8,3921.2130846194,0.235803577721971,2696.20032483959,623,0.297274401891533,33153.8459997322,136989.124486651,0.0812619502868069,0.1827978493577,0.0526081854747329
"9",77,9,1181.77719378918,0.139898262773427,2983.55949735138,1051,0.354814024015033,44722.3468311884,136091.068856134,0.220843330020233,0.306352593999215,0.130116191756608
"10",77,10,1004.37894683561,0.098266726649876,3857.71097402079,1018,0.418792527225908,35211.140954744,94843.2635583973,0.121800791797397,0.246822799079188,0.0882200899226563
"11",77,11,1174.70281505898,0.129037799560455,3130.88082999492,1991,0.370397700493088,46315.0602055285,126395.251443303,0.254527077420503,0.294786164804776,0.12656617284953
"12",77,12,861.807788654734,0.0949340626848652,3217.39595762285,3026,0.405226511968067,36848.103990415,92634.6524137086,0.164229071146659,0.265800665329661,0.108528801793783
"13",77,13,870.802398217809,0.0981141982103094,3004.41306654335,1294,0.411787530773597,32365.8313553059,76865.4827759312,0.183689960411638,0.283408212473095,0.12002158720821
"14",78,1,10536.0584213894,0.390547282221074,2554.01474017587,1778,0.184117931588233,54463.0205139341,334607.657281791,0.127129036653495,0.218493311195737,0.0767135436411044
"15",78,2,4915.90719518512,0.310487972531799,2523.06053983258,1111,0.225921196771669,51904.3927383652,253495.426122146,0.132628822273521,0.248116604997952,0.0893304903515751
"16",78,3,3871.45087691501,0.258880961531695,2645.93207319423,3335,0.244512931972122,43281.316038811,202174.096148159,0.114655088458116,0.229079789683262,0.0835514121317318
"17",78,4,3504.92046461299,0.248751654584677,2830.67984296854,3366,0.257450245102837,31974.5023810656,136549.119850666,0.0573891372112542,0.195601615467856,0.058291024873977
"18",78,5,3439.00317451169,0.225047237661389,2868.66991253341,1154,0.249426765129282,31116.5681774574,131696.880294364,0.051991847722589,0.167516656801016,0.0448970108672829
"19",78,6,2957.82788886089,0.219616838069878,2899.43280607783,1627,0.278824562241361,31045.7680844637,119468.8094899,0.0472108886476817,0.172504436496983,0.0577698279576681
"20",78,7,3653.41514283004,0.239396042821532,2988.18817094982,320,0.357327637055695,25763.8018243609,74357.5328597869,0.0224663005491762,0.154193669476784,0.039012648505978
"21",78,8,5037.7563171813,0.223133342459718,2933.72858326992,758,0.284562898922917,34807.6894712997,154059.824504252,0.0615756923904275,0.186996367886484,0.0534375098019307
"22",78,9,1480.57005288085,0.133043595708138,2895.81325027759,1413,0.326878752499308,48258.234527477,157242.608934502,0.167723828369122,0.280143630819087,0.120755172987872
"23",78,10,1331.60465855813,0.0935045222896556,3858.82209676295,2840,0.383848880616311,34587.8435276485,103475.41408359,0.0794189941625094,0.29085271368535,0.123170931453695
"24",78,11,1477.12991469353,0.130264935627496,3325.29752410581,3657,0.363744884724854,42377.2500586356,118213.127633023,0.133013410480855,0.271419043883435,0.107879180502882
"25",78,12,1122.78757998985,0.0874185745042329,3447.57532350091,4219,0.378773960602097,38651.2483312542,105311.82913485,0.120590788571649,0.248275863496487,0.0953036182380159
"26",78,13,987.259353449587,0.0816923211014541,3415.25095670584,1410,0.399905679546467,34986.5192871775,94638.7848696235,0.11040708814201,0.232797601803027,0.0817566526094142
"27",79,1,13003.3878200698,0.381311408559179,2393.22562763741,1558,0.172802753146199,69917.1047051606,420006.581160779,0.171862509992006,0.243191867327378,0.0838797901175394
"28",79,2,6141.45126638842,0.293642265575598,2658.79177030217,1131,0.221308034990662,54116.0127194224,255357.576145519,0.0924165133731023,0.250010485827984,0.0947226959313923
"29",79,3,4596.19478786301,0.255727908201745,2644.75867361158,3299,0.231694493436757,50731.1169336256,238633.821140118,0.112113985299587,0.227645014424787,0.0818819567734774
"30",79,4,4091.20306984349,0.255296445187412,2766.88582721707,3192,0.248633166178499,38114.9221817429,168097.585636159,0.0641936129133362,0.217823837956726,0.0782543331306695
"31",79,5,4137.72291335529,0.222069545294595,3019.69336893912,1154,0.243463485229392,33005.8592814272,163492.978206012,0.0487682786935052,0.165810858690295,0.0436883597954185
"32",79,6,3731.09984038466,0.22039702873602,3060.47175894315,1630,0.268724733340989,35907.3186342225,141868.758039759,0.048130859695394,0.172219911810365,0.0503405694929695
"33",79,7,4756.12814320812,0.242472522051186,3000.99600954484,320,0.355277692725789,33882.9915721235,93603.2741285911,0.0240963855421687,0.194650926311192,0.0453789109665632
"34",79,8,6064.4134518297,0.236718930556203,2810.12077267314,765,0.264009520520611,42396.6472869305,186347.898448158,0.0909090909090909,0.221463162494945,0.0749044123919549
"35",79,9,1772.2430459232,0.127025705900952,2785.38016396321,1416,0.29609313545247,56364.7133591036,199351.254563322,0.141678149419165,0.312598928405447,0.131948274232548
"36",79,10,1543.72191015959,0.0984142954216267,3737.25719483008,2700,0.346664370980095,41777.4117353717,135223.607629915,0.0773562643219535,0.271681097293588,0.106851996154973
"37",79,11,1711.14132874182,0.1350074844292,3129.58559854369,3674,0.356397835988736,49142.7139313123,144757.637533584,0.151789658173837,0.278786916634941,0.112985992784548
"38",79,12,1258.15628244284,0.0877793188238472,3452.64066400818,4157,0.372526188852807,47068.4237792668,126518.393077617,0.118436677760184,0.250790105002394,0.0987378745251452
"39",79,13,1153.23622602254,0.0898343325974222,3407.05104805463,1415,0.380531939258941,34130.4083781289,95196.1282409745,0.094916203101308,0.214504302871106,0.0697619239790685
"40",80,1,15316.2481440191,0.375696352190256,2406.57512320227,1554,0.152793515471496,83397.7850541909,583631.621599318,0.220451527224436,0.242878318897391,0.0858787274914958
"41",80,2,6813.04150061541,0.292953230731534,2541.68071123197,1111,0.202029885931758,66929.7682746933,358908.820315644,0.144394272917073,0.25642830448665,0.0956996620364498
"42",80,3,5287.27386510868,0.255865579628317,2571.14662397439,3303,0.219960808690582,57123.0077860246,275671.888284237,0.14225908599596,0.244264561375728,0.0895938692946214
"43",80,4,4962.04929871406,0.254087728444074,2944.32813085731,3192,0.241742869416941,45373.9081874461,209541.769021613,0.0692600654125777,0.20321443499089,0.0616663429503526
"44",80,5,4568.04867885391,0.219570366410504,3030.67332514638,1167,0.233840791031687,37229.1590557729,182467.524240574,0.0528031490040197,0.254239726743462,0.0865731669242522
"45",80,6,4111.32182905999,0.229313375188915,2964.00129588674,1659,0.259761299849019,38845.3117836485,166946.930732253,0.0414885052339044,0.185299929587073,0.061203493189433
"46",80,7,5707.79498729097,0.274304171164404,2848.67736805947,320,0.324963458982832,36802.9288752361,113324.317812469,0.0420693575895395,0.156308008943866,0.0423278935360087
"47",80,8,6732.1485066782,0.254260001537948,2910.1297671731,668,0.260342438610975,47198.3052616809,219350.82390492,0.0847094801223242,0.219750075994888,0.0767484115579856
"48",80,9,1931.54891173458,0.135387666216432,2970.63693948654,1423,0.287033715413969,60212.1585452507,215108.250351261,0.147097018365672,0.254386076741042,0.105002208754557
"49",80,10,1725.40834232906,0.092511146966259,3849.88059349556,2802,0.325988267665768,43774.1360457879,146896.592488745,0.0633399719363782,0.243977735933952,0.0893348626668564
"50",80,11,2067.40469066589,0.153315433130477,3294.37615440286,3658,0.343276677499854,48227.361681381,152568.488461891,0.117532155029946,0.22316324730429,0.0801174679930579
"51",80,12,1465.36328898241,0.0922156973411803,3688.32811901467,4567,0.356656620865402,42617.2750649018,128544.879112296,0.0833097375062451,0.21507535656249,0.0755272666783345
"52",80,13,1321.52464067431,0.105313484686323,3168.55855926198,1342,0.366023084615915,37886.9163479131,107405.25828634,0.123530288665484,0.245663783165435,0.0920285661553419
"53",81,1,18751.5083365585,0.369046275724758,2540.61457309156,1553,0.162032833438178,114673.489975988,739040.593211292,0.205341953045253,0.249768576037829,0.096712361291893
"54",81,2,8695.16419674087,0.296316914035256,2415.70860226362,1179,0.201389138293981,86664.0642278626,445456.099022262,0.148994693480928,0.23964033296736,0.092016218058725
"55",81,3,6584.2196921908,0.243292476809068,2749.45396288409,3767,0.228294834802362,69511.6434505339,345490.379750053,0.117525798733716,0.252993216167832,0.0951908793868098
"56",81,4,5930.06489906168,0.25786792128522,2910.36422471026,3767,0.242137334625337,67617.625402844,289197.491822629,0.0879195745908642,0.18322420402172,0.0536964708462412
"57",81,5,5380.10401102524,0.215304986937727,3213.31561776378,1716,0.236444159402309,48762.8547199195,242952.18557881,0.0552810739140103,0.237060642808534,0.0799044866465633
"58",81,6,4955.05287776166,0.216760121418901,3017.6793311391,2496,0.261852108562896,53831.2578831329,233351.533212819,0.0613608462403356,0.27201650108429,0.105114371762067
"59",81,7,6054.15514935451,0.234451467273552,2950.29294492903,615,0.317782561664577,33827.9459471135,112059.156853806,0.0151428571428571,0.184469158722654,0.0460573694581693
"60",81,8,8316.62399127469,0.24408391130469,2513.06940469458,766,0.247660836446266,73686.9601911719,331371.36216554,0.134101771155468,0.250659330276699,0.0970056372788611
"61",81,9,2002.02702654044,0.116572970258415,3385.83313021762,1510,0.299484222647146,62087.8109151014,231082.200097897,0.0809188683854349,0.251209929590674,0.0995607339038217
"62",81,10,1797.57249540184,0.0887277628034428,3702.52955384912,3190,0.353290906478004,60223.2626406722,199638.891185202,0.0830392259768022,0.210807168406997,0.0684141952512397
"63",81,11,2226.84972334281,0.138326972329427,3552.13871352956,4413,0.342958332315703,64726.4129788219,204931.390789066,0.123236975436893,0.248902114106213,0.0969226666254329
"64",81,12,1804.97474461234,0.090120308621789,3840.13780514539,5581,0.35884940716877,49170.1571967563,151105.934168341,0.0578212858759484,0.213834392449203,0.0718846673550338
"65",81,13,1520.59998242171,0.109848371102716,2972.93049593755,1451,0.35480423337941,42328.4123962984,125820.583681732,0.119770592420749,0.232218247811447,0.079376719788052
"66",82,1,22493.3062728446,0.38636639504949,2564.20986629747,1180,0.157308600512892,134058.005039521,924048.243140814,0.19785730567586,0.223071864140583,0.0747562823544868
"67",82,2,10181.8196032456,0.29896601058825,2434.99192021488,958,0.196949354534695,109921.84881739,569191.354868466,0.15704385630352,0.185550744173658,0.0577436638019354
"68",82,3,7547.95307199279,0.240427446590662,2718.89345110377,2769,0.225026767061252,93780.3375937195,456373.421045544,0.113782607691554,0.196180831819517,0.0650549280561244
"69",82,4,6765.65710862879,0.251460157420267,2966.98635238245,2812,0.235101904135027,66369.7737025012,334388.571773919,0.068829925629429,0.227460538153846,0.0769264225715357
"70",82,5,6141.97624244753,0.208064704131267,3344.33790341326,1167,0.24034078837157,56967.091203382,262399.266483664,0.0385404102562011,0.18022422630807,0.0514951751737001
"71",82,6,5799.11230530683,0.217224221624728,3008.74907474646,1706,0.248446844067331,59313.1302424523,257546.117255548,0.0527526269418528,0.208806541377924,0.0659423106408872
"72",82,7,6401.11678943801,0.224327043751451,3180.59468392871,355,0.311690716349536,34832.01299296,123104.946406991,0.0202492211838006,0.226674759066688,0.0620795196521984
"73",82,8,10111.7093565368,0.261207125243162,2570.64705449045,600,0.243963617771852,99048.3741428179,449992.97214386,0.148878576952823,0.178332647788529,0.0505860856910817
"74",82,9,2585.69506764383,0.105923992936652,3391.94444020373,947,0.273610411256406,74602.8427807328,313837.530644116,0.0777664820806526,0.235133678376635,0.0869837186697781
"75",82,10,2449.00158850993,0.0898685404473757,3366.99551193482,2176,0.349406173455873,80229.2354460283,253143.090698177,0.0990149041343664,0.219923993771348,0.0754415635086915
"76",82,11,2636.50260382709,0.126913095177518,3595.93724457782,3182,0.352643856983542,79413.2569750918,243796.537205841,0.0997720205770157,0.221452145785668,0.0784009507900913
"77",82,12,2137.38799588349,0.0881832303810718,3847.87438010933,4222,0.340799436791149,61085.3541909241,212425.388857926,0.073937592299092,0.234305569689094,0.0834562426765193
"78",82,13,1756.79711218715,0.0920891100596632,3272.43470443278,1003,0.365848869111369,51982.9274051727,161419.508064618,0.12761280166876,0.24881315419219,0.0903762590716431
"79",83,1,25011.3221630104,0.363786978154194,2701.62305607611,1182,0.184946917679218,170206.966536562,957961.505937829,0.144418604651163,0.211552927103709,0.0724169434531856
"80",83,2,12401.5020369383,0.284087800138564,2791.53959463756,959,0.216162327444655,93658.3893498567,607912.462429055,0.0717052189537498,0.195800178868589,0.0646743320372052
"81",83,3,8427.9232962637,0.21612340399607,2961.31182517439,2941,0.243626348256962,105897.762754467,483488.66354767,0.0914052737588785,0.22498564919975,0.0825059427483206
"82",83,4,8683.89263955375,0.253414913813097,3213.511117156,2822,0.248752919961479,87088.6825350953,400448.054633324,0.0798044796399669,0.207937445783577,0.0618849173896875
"83",83,5,7027.36650194639,0.203907404275322,3445.39891546697,1283,0.251582896860206,69997.6155480322,361068.070611955,0.0505440946563872,0.241908405968864,0.0862623416828806
"84",83,6,6896.9842392093,0.204090602966606,3316.83027812904,1968,0.263904620350484,67428.1963464054,301354.505288992,0.0372894737521507,0.188783716892873,0.06463032756593
"85",83,7,8379.09577033398,0.184105112374495,3509.18522960205,449,0.319343929430798,48336.3373604173,167808.864986585,0.0290585044556373,0.230596478150783,0.0688341866901673
"86",83,8,9741.78697441084,0.243542784862613,2882.39903379198,598,0.287768284349667,111322.191443446,447711.917558459,0.0681732580037665,0.239090050742303,0.0718836486132791
"87",83,9,2565.03084920144,0.0847282870067439,3829.59258555733,1017,0.294252776754012,86335.7403908459,352674.563236162,0.0760646709626098,0.234967973700587,0.0825384886421502
"88",83,10,3175.24686094543,0.0916653087079421,4532.47908536634,2125,0.344204240208893,71784.8113841153,259345.853484071,0.0365985218593956,0.240093623867439,0.0886957717849048
"89",83,11,2936.83030488288,0.11500723881542,4140.53214307312,3600,0.365470008701522,62090.5172961655,214673.771536027,0.0231401181112141,0.195494649850349,0.0612975697560074
"90",83,12,2854.7587910663,0.09224716423691,4160.43126242834,4434,0.351107978374711,66423.7308858115,217841.480462722,0.0407408837694051,0.22245006583734,0.0772675982302285
"91",83,13,2134.61446440989,0.0971599352178227,3653.71728644149,1037,0.366122274491567,51870.0161763183,169690.861679464,0.0398395109511913,0.224596749385505,0.0739129151002786
"92",84,1,26226.2977315616,0.351744886747474,2597.09804382463,1182,0.170872466091563,177831.86149523,1090745.55209216,0.160837551771744,0.211571235950329,0.0690942213208438
"93",84,2,13896.6333552242,0.286375176707459,2856.84504445095,1014,0.210266844295455,126593.090886591,670310.629162793,0.103816429070187,0.19407672255593,0.0596156860043601
"94",84,3,9846.91320202063,0.224278094757985,2950.50385897152,3134,0.228700051634699,117183.371146974,596461.047442438,0.0934916970763779,0.248387809276056,0.0916247317124037
"95",84,4,10064.5857234072,0.250729203219613,3202.31338821175,3051,0.23171638992855,93588.5996099708,463413.341674411,0.0575992128833158,0.184990733125712,0.0596102794514237
"96",84,5,8365.6714269738,0.209060592462071,3300.25585061429,1453,0.238018642351225,75030.1103345081,352109.191419213,0.0200573975142402,0.205370105764457,0.0638785119834313
"97",84,6,8485.05080209544,0.215688271467568,3318.85507551847,2619,0.253775464168867,68512.4022163972,325144.117498053,0.0289545541710257,0.212338356595556,0.0639928854713872
"98",84,7,8532.99329680506,0.190974986064074,3215.62285191388,450,0.288379496433965,41782.7859511763,188663.746285931,0.0111464968152866,0.285340782215687,0.0996569358808538
"99",84,8,10296.362377429,0.206104877007812,3114.17404362807,597,0.279400596077558,123585.338030848,573255.689671087,0.103646046702171,0.217486911731035,0.0794271511778592
"100",84,9,3982.42098476523,0.117221461014195,3766.99898010022,1017,0.279914515617969,113339.580306951,469336.993398452,0.083928865878181,0.252352786224734,0.0929626985895537
"101",84,10,3786.54522757535,0.102725512408125,4005.59076764549,2308,0.335135279410564,90125.4982754259,329705.004006364,0.0588679221746512,0.245145321346991,0.0871470477742139
"102",84,11,3865.06128124932,0.123324816353254,3757.86150715677,3656,0.346861403909149,76989.388150611,277685.139728307,0.0375298922689699,0.227233561882281,0.0862397383818024
"103",84,12,2818.3156919907,0.0871580505493914,4188.46274101614,4866,0.34784907169847,69861.8663631426,224085.34244754,0.0357097311390839,0.191676887424444,0.0601652825421144
"104",84,13,2620.48331040078,0.0959159354961158,3637.46078425095,1457,0.356181864345981,61787.2748052108,201632.498692553,0.0530863712839338,0.161738361426423,0.0426847465408773
"105",85,1,37155.3760031632,0.390359835476327,2238.75359839099,1181,0.153029258813752,222059.135135075,1447444.94843212,0.247180667433832,0.271353071813604,0.106686939055839
"106",85,2,16413.0235294602,0.29906362781946,2493.16956751835,1079,0.191924557470633,190376.878528569,1063211.12963143,0.245694641148765,0.285950841674654,0.11681523194588
"107",85,3,11780.3946885031,0.24599309911417,2710.47716432841,3322,0.21364056722323,160168.183183408,824224.589323981,0.199725727447817,0.277552589229121,0.109955824969162
"108",85,4,11508.5326892253,0.245905085595419,3081.55346875003,3642,0.231926358883779,102809.639045838,479365.847289511,0.0560324966639042,0.196315217219597,0.0600228396671937
"109",85,5,9255.08992662913,0.205250620560885,3292.33862953365,1633,0.237505783163794,95288.3080242642,483378.425052632,0.0767404134409733,0.204984562313165,0.0680897226021381
"110",85,6,10604.7515704269,0.233879581226631,3126.538294955,2844,0.242954891954817,98702.3015440423,447834.635418004,0.0623759638631504,0.206155218414127,0.0640451593090963
"111",85,7,9617.77627872414,0.209742768841403,3079.1251891542,460,0.30441820193695,78666.3935413289,246059.53303885,0.0134419551934827,0.199018659549976,0.0573747814771556
"112",85,8,14420.0080009387,0.265986324776949,2555.59344907536,617,0.241791715365805,179694.972894692,836050.301413651,0.305098354074669,0.294303934492007,0.125163838431399
"113",85,9,4867.24417818505,0.123494023785489,3680.72542767101,1415,0.286686751286465,143451.613016214,590932.639907466,0.102486530367029,0.24371321222928,0.0927872806220966
"114",85,10,4468.82953002012,0.113409382267565,3573.745163351,2428,0.317028841256459,123038.29356727,446958.945181598,0.111573495139505,0.279742178967231,0.108351951520024
"115",85,11,3866.51546871577,0.114676280686722,3523.93409536462,4861,0.329466591671966,95284.1561055396,348043.950394174,0.0562129170769822,0.21255502586465,0.0759764617750489
"116",85,12,3360.87901097007,0.0949621749945083,3747.86245857648,5475,0.345608167056046,94365.8346395274,303441.190247989,0.0633048200308501,0.184008229258925,0.0556922113582398
"117",85,13,3098.92212205106,0.100971464247321,3505.92142932456,1874,0.352418231150179,66573.6793306822,242487.292497618,0.0532169089473482,0.2079362907986,0.0690312492731871
"118",86,1,51847.9685206329,0.40751390652066,2507.67420169917,1179,0.146794325997804,232679.9312679,1652966.46284383,0.162680617837568,0.233244752419008,0.0837354404376193
"119",86,2,23464.2156657085,0.317279527518842,2654.3367070282,1227,0.186510430511156,194295.012524129,1122025.96022025,0.149118062745703,0.26318293270261,0.0960658427949793
"120",86,3,15192.2265559871,0.264704834831269,2701.12172818104,3374,0.208195040264543,172951.810186241,909957.380934324,0.138630809817814,0.243663775823272,0.0909679051098388
"121",86,4,14169.2510925206,0.259371881250829,3058.41194682784,3521,0.227730381024877,133082.592472075,649135.145447168,0.054855113073489,0.213475374719157,0.0709525083885148
"122",86,5,12375.7384894467,0.224324708766406,3199.97693992103,1824,0.230472666181383,103015.822883765,570124.605490743,0.0664468056513984,0.229068492085742,0.0810046734444611
"123",86,6,12502.0382534333,0.236056262534098,3106.15923244791,3199,0.249558930414202,114714.410112893,537796.51412469,0.052277451449457,0.216457330113932,0.0681588975342706
"124",86,7,11158.8143005201,0.223743696753471,2786.38294821827,680,0.310940599515026,127505.408587537,418468.162737633,0.154340836012862,0.261912121376576,0.111531696023269
"125",86,8,18641.0959882549,0.289544517910259,2459.67450409034,592,0.224512039646447,179612.462940303,884246.75991752,0.223960477562783,0.238349491713386,0.0897500788139371
"126",86,9,6395.57538589351,0.142137329960693,3431.84725525851,1215,0.265255319972824,182997.880800167,817083.367534592,0.13174776796442,0.23787575182391,0.0870773105043237
"127",86,10,5414.60131692021,0.120981448996241,3760.04798961443,2711,0.334145846223534,153633.687654668,510313.917516421,0.0997172454131157,0.203916743643225,0.0650221106242215
"128",86,11,5151.07941441174,0.127027575861995,3458.09058955387,3867,0.318573606774128,130575.903266345,466542.233628945,0.0824845669142585,0.222111277866259,0.0796364657645738
"129",86,12,4295.57402999522,0.105381827406389,3694.22870953913,5719,0.350998454699069,111677.508554628,356087.709163895,0.0562906528775489,0.203587009437339,0.0669098011099349
"130",86,13,3423.25544869007,0.0932734015475863,3481.89160276533,1690,0.363474331048553,129094.05551017,374924.352760893,0.156121128483358,0.325209257307059,0.145913210051979
"131",87,1,59896.2917369581,0.454310810163793,2278.50086385799,1081,0.1408810733307,310066.517476678,2387105.10211568,0.2157161782176,0.258463743130743,0.102097500570839
"132",87,2,28719.4571710976,0.358276394127095,2377.46489783847,1408,0.176880302267735,267045.351373731,1637053.30703374,0.204900273552455,0.272693517117794,0.10928329444005
"133",87,3,19738.1233043991,0.285088006402713,2511.83844317072,4733,0.20181988556676,222964.547330506,1229341.64357116,0.18392139361022,0.255172085914726,0.0986369707077868
"134",87,4,16986.3677356842,0.265168721691686,2747.33643645244,4636,0.222944249432394,221416.634023405,1049845.15442067,0.127072723725609,0.233320262354477,0.0811903727115231
"135",87,5,15141.6887023749,0.243069087310308,3008.23304770618,2194,0.234701657218889,149473.950830387,764727.16271099,0.0771533069660303,0.222060149256494,0.0758772497977973
"136",87,6,15310.6230026691,0.2380221461908,3078.88959512177,4499,0.247141284260391,155142.044291944,717068.848933075,0.0592444694334622,0.217599798318569,0.0677844140392266
"137",87,7,14152.9717673981,0.251738676113589,2653.29341279027,780,0.301795870660609,171002.286126637,548190.328034387,0.200697745084578,0.296980891632617,0.126387809894075
"138",87,8,22487.4198508481,0.307258472786446,2750.7700034021,545,0.220795012881626,199340.283950889,1166066.16991211,0.220663079898025,0.254200542752732,0.094763488982215
"139",87,9,7838.02839848721,0.156273388351382,3148.30224491882,1334,0.2829633226318,213572.470860429,917172.954898556,0.141646967479489,0.236356321045195,0.0833870055156407
"140",87,10,7668.03250566553,0.144277156126707,3291.29157408696,3578,0.339025289512213,207451.114273269,667685.200738511,0.149244566654924,0.227779232519269,0.0750632194142586
"141",87,11,6789.10385636727,0.145105555655182,3173.98768205157,4963,0.320727562127753,173674.312509792,613852.266525346,0.114322565670939,0.256095077918111,0.0979946937992584
"142",87,12,6318.38612634597,0.128920917999202,3500.55927379656,6670,0.349594489410809,143208.06040155,467825.28890581,0.056571761542849,0.209195325867594,0.0746890306995526
"143",87,13,4616.22912280335,0.113268901913269,3023.21509044618,1978,0.365133700389385,194409.196476376,536162.025119058,0.272242527793715,0.362391361663119,0.187929741229527
"144",88,1,59617.9145222608,0.426665131722961,2117.75684640925,457,0.147913968171263,388216.7150678,2606748.31489371,0.272496346536337,0.275122257413987,0.107402822066403
"145",88,2,28723.5181105189,0.321126639148141,2716.48087733413,813,0.18040268921928,279481.452482422,1770392.8844037,0.210861756089911,0.245449835337458,0.0870254155521633
"146",88,3,20938.4694669612,0.283140102661114,2527.81398031094,4839,0.206229166766187,265322.679267134,1389234.61587372,0.19630241913049,0.248242910911587,0.0928100642141934
